.01	3000.0	9.0
3000.0100000000002	15000.0	18.0
15000.01	30000.0	30.0
30000.009999999998	45000.0	40.0
45000.010000000002	60000.0	55.0
60000.010000000002	75000.0	60.0
75000.009999999995	90000.0	70.0
90000.009999999995	120000.0	90.0
120000.00999999999	150000.0	120.0
150000.01000000001	180000.0	150.0
180000.01000000001	240000.0	180.0
240000.01000000001	300000.0	210.0
300000.01000000001	360000.0	240.0
360000.01000000001	480000.0	270.0
480000.01000000001	540000.0	300.0
540000.01000000001	600000.0	330.0
600000.01000000001	1200000.0	450.0
1200000.01	1800000.0	480.0
1800000.01	3000000.0	510.0
