0000000101	72	%	-1.0		-1.0		-1.0		COAATLR
0000000102	73	%	-1.0		-1.0		-1.0		COAATLR
0000000103	74	%	-1.0		-1.0		-1.0		COAATLR
0000000104	75	%	-1.0		-1.0		-1.0		COAATLR
0000000105	91	%	-1.0		-1.0		-1.0		COAATLR
0000000106	92	%	-1.0		-1.0		-1.0		COAATLR
0000000107	93	%	-1.0		-1.0		-1.0		COAATLR
0000000108	94	%	-1.0		-1.0		-1.0		COAATLR
0000000109	95	%	-1.0		-1.0		-1.0		COAATLR
0000000110	81	%	-1.0		-1.0		-1.0		COAATLR
0000000111	82	%	-1.0		-1.0		-1.0		COAATLR
0000000112	83	%	-1.0		-1.0		-1.0		COAATLR
0000000113	01	%	-1.0		-1.0		-1.0		COAATNA
0000000114	02	%	-1.0		-1.0		-1.0		COAATNA
0000000115	03	%	-1.0		-1.0		-1.0		COAATNA
0000000116	04	%	-1.0		-1.0		-1.0		COAATNA
0000000117	05	%	-1.0		-1.0		-1.0		COAATNA
0000000118	11	%	-1.0		0.0	60000.0	-1.0		COAATNA
0000000119	11	%	-1.0		60001.0	150000.0	-1.0		COAATNA
0000000120	11	%	-1.0		150001.0	300000.0	-1.0		COAATNA
0000000121	11	%	-1.0		300001.0		-1.0		COAATNA
0000000122	12	%	-1.0		0.0	60000.0	-1.0		COAATNA
0000000123	12	%	-1.0		60001.0	150000.0	-1.0		COAATNA
0000000124	12	%	-1.0		150001.0	300000.0	-1.0		COAATNA
0000000125	12	%	-1.0		300001.0		-1.0		COAATNA
0000000126	13	%	-1.0		0.0	60000.0	-1.0		COAATNA
0000000127	13	%	-1.0		60001.0	150000.0	-1.0		COAATNA
0000000128	13	%	-1.0		150001.0	300000.0	-1.0		COAATNA
0000000129	13	%	-1.0		300001.0		-1.0		COAATNA
0000000130	14	%	-1.0		0.0	300000.0	-1.0		COAATNA
0000000131	14	%	-1.0		300001.0	1000000.0	-1.0		COAATNA
0000000132	14	%	-1.0		1000001.0		-1.0		COAATNA
0000000133	15	%	-1.0		0.0	60000.0	-1.0		COAATNA
0000000134	15	%	-1.0		60001.0	150000.0	-1.0		COAATNA
0000000135	15	%	-1.0		150001.0	300000.0	-1.0		COAATNA
0000000136	15	%	-1.0		300001.0		-1.0		COAATNA
0000000137	16	%	-1.0		0.0	60000.0	-1.0		COAATNA
0000000138	16	%	-1.0		60001.0	150000.0	-1.0		COAATNA
0000000139	16	%	-1.0		150001.0	300000.0	-1.0		COAATNA
0000000140	16	%	-1.0		300001.0		-1.0		COAATNA
0000000141	17	%	-1.0		0.0	300000.0	-1.0		COAATNA
0000000142	17	%	-1.0		300001.0	1000000.0	-1.0		COAATNA
0000000143	17	%	-1.0		1000001.0		-1.0		COAATNA
0000000144	31	%	-1.0		0.0	300000.0	-1.0		COAATNA
0000000145	31	%	-1.0		300001.0	1000000.0	-1.0		COAATNA
0000000146	31	%	-1.0		1000001.0		-1.0		COAATNA
0000000147	32	%	-1.0		0.0	300000.0	-1.0		COAATNA
0000000148	32	%	-1.0		300001.0	1000000.0	-1.0		COAATNA
0000000149	32	%	-1.0		1000001.0		-1.0		COAATNA
0000000150	33	%	-1.0		0.0	300000.0	-1.0		COAATNA
0000000151	33	%	-1.0		300001.0	1000000.0	-1.0		COAATNA
0000000152	33	%	-1.0		1000001.0		-1.0		COAATNA
0000000153	41	%	-1.0		-1.0		-1.0		COAATNA
0000000154	42	%	-1.0		-1.0		-1.0		COAATNA
0000000155	43	%	-1.0		-1.0		-1.0		COAATNA
0000000156	44	%	-1.0		-1.0		-1.0		COAATNA
0000000157	45	%	-1.0		-1.0		-1.0		COAATNA
0000000158	46	%	-1.0		-1.0		-1.0		COAATNA
0000000159	51	%	-1.0		-1.0		-1.0		COAATNA
0000000160	52	%	-1.0		-1.0		-1.0		COAATNA
0000000161	53	%	-1.0		-1.0		-1.0		COAATNA
0000000162	54	%	-1.0		-1.0		-1.0		COAATNA
0000000163	61	%	-1.0		-1.0		-1.0		COAATNA
0000000164	62	%	-1.0		-1.0		-1.0		COAATNA
0000000165	63	%	-1.0		-1.0		-1.0		COAATNA
0000000166	64	%	-1.0		-1.0		-1.0		COAATNA
0000000167	65	%	-1.0		-1.0		-1.0		COAATNA
0000000168	66	%	-1.0		-1.0		-1.0		COAATNA
0000000169	71	%	-1.0		-1.0		-1.0		COAATNA
0000000170	72	%	-1.0		-1.0		-1.0		COAATNA
0000000171	73	%	-1.0		-1.0		-1.0		COAATNA
0000000172	74	%	-1.0		-1.0		-1.0		COAATNA
0000000173	75	%	-1.0		-1.0		-1.0		COAATNA
0000000174	81	%	-1.0		-1.0		-1.0		COAATNA
0000000175	82	%	-1.0		-1.0		-1.0		COAATNA
0000000176	83	%	-1.0		-1.0		-1.0		COAATNA
0000000177	91	%	-1.0		-1.0		-1.0		COAATNA
0000000178	92	%	-1.0		-1.0		-1.0		COAATNA
0000000179	93	%	-1.0		-1.0		-1.0		COAATNA
0000000180	94	%	-1.0		-1.0		-1.0		COAATNA
0000000181	95	%	-1.0		-1.0		-1.0		COAATNA
0000000182	01	%	-1.0		-1.0		-1.0		COAATGUI
0000000183	02	%	-1.0		-1.0		-1.0		COAATGUI
0000000184	03	%	-1.0		-1.0		-1.0		COAATGUI
0000000185	04	%	-1.0		-1.0		-1.0		COAATGUI
0000000186	05	%	-1.0		-1.0		-1.0		COAATGUI
0000000187	11	%	-1.0		0.0	60000.0	-1.0		COAATGUI
0000000188	11	%	-1.0		60001.0	150000.0	-1.0		COAATGUI
0000000189	11	%	-1.0		150001.0	300000.0	-1.0		COAATGUI
0000000190	11	%	-1.0		300001.0		-1.0		COAATGUI
0000000191	12	%	-1.0		0.0	60000.0	-1.0		COAATGUI
0000000192	12	%	-1.0		60001.0	150000.0	-1.0		COAATGUI
0000000193	12	%	-1.0		150001.0	300000.0	-1.0		COAATGUI
0000000194	12	%	-1.0		300001.0		-1.0		COAATGUI
0000000195	13	%	-1.0		0.0	60000.0	-1.0		COAATGUI
0000000196	13	%	-1.0		60001.0	150000.0	-1.0		COAATGUI
0000000197	13	%	-1.0		150001.0	300000.0	-1.0		COAATGUI
0000000198	13	%	-1.0		300001.0		-1.0		COAATGUI
