25000.0	30000.0	1.3500000000000001	N	1.6.4     	H   
30000.0	35000.0	1.3200000000000001	N	1.6.4     	H   
35000.0	40000.0	1.29	N	1.6.4     	H   
40000.0	50000.0	1.26	N	1.6.4     	H   
50000.0	65000.0	1.23	N	1.6.4     	H   
65000.0	80000.0	1.2	N	1.6.4     	H   
80000.0	100000.0	1.1699999999999999	N	1.6.4     	H   
100000.0	120000.0	1.1399999999999999	N	1.6.4     	H   
120000.0	140000.0	1.1100000000000001	N	1.6.4     	H   
140000.0	180000.0	1.0800000000000001	N	1.6.4     	H   
180000.0	200000.0	1.05	N	1.6.4     	H   
200000.0	999999999.0	1.02	S	1.6.4     	H   
-1.0	4510.0	2.3999999999999999	N	2.4.1     	H   
4510.0	6010.0	2.25	N	2.4.1     	H   
6010.0	9020.0	2.1000000000000001	N	2.4.1     	H   
9020.0	12020.0	2.0099999999999998	N	2.4.1     	H   
12020.0	18030.0	1.9199999999999999	N	2.4.1     	H   
18030.0	24040.0	1.8700000000000001	N	2.4.1     	H   
24040.0	30050.0	1.8300000000000001	N	2.4.1     	H   
30050.0	36060.0	1.78	N	2.4.1     	H   
36060.0	42070.0	1.74	N	2.4.1     	H   
42070.0	51090.0	1.71	N	2.4.1     	H   
51090.0	60100.0	1.6799999999999999	N	2.4.1     	H   
60100.0	75130.0	1.6499999999999999	N	2.4.1     	H   
75130.0	90150.0	1.6200000000000001	N	2.4.1     	H   
90150.0	120200.0	1.5700000000000001	N	2.4.1     	H   
120200.0	180300.0	1.5	N	2.4.1     	H   
180300.0	240400.0	1.4199999999999999	N	2.4.1     	H   
240400.0	300510.0	1.3500000000000001	N	2.4.1     	H   
300510.0	390660.0	1.27	N	2.4.1     	H   
390660.0	480810.0	1.2	N	2.4.1     	H   
480810.0	601010.0	1.1200000000000001	N	2.4.1     	H   
601010.0	751270.0	1.05	N	2.4.1     	H   
751270.0	901520.0	1.01	N	2.4.1     	H   
901520.0	1051770.0	.96999999999999997	N	2.4.1     	H   
1051770.0	1202020.0	.93999999999999995	N	2.4.1     	H   
1202020.0	1502530.0	.91000000000000003	N	2.4.1     	H   
1502530.0	1803040.0	.84999999999999998	N	2.4.1     	H   
1803040.0	2404050.0	.79000000000000004	N	2.4.1     	H   
2404050.0	2704550.0	.75	N	2.4.1     	H   
2704550.0	3005060.0	.69999999999999996	N	2.4.1     	H   
3005060.0	3606070.0	.66000000000000003	N	2.4.1     	H   
3606070.0	4207080.0	.64000000000000001	N	2.4.1     	H   
4207080.0	5108600.0	.63	N	2.4.1     	H   
5108600.0	6010120.0	.60999999999999999	N	2.4.1     	H   
6010120.0	9999999999999.0	.59999999999999998	S	2.4.1     	H   
-1.0	4510.0	2.3999999999999999	N	2.4.2     	H   
4510.0	6010.0	2.25	N	2.4.2     	H   
6010.0	9020.0	2.1000000000000001	N	2.4.2     	H   
9020.0	12020.0	2.0099999999999998	N	2.4.2     	H   
12020.0	18030.0	1.9199999999999999	N	2.4.2     	H   
18030.0	24040.0	1.8700000000000001	N	2.4.2     	H   
24040.0	30050.0	1.8300000000000001	N	2.4.2     	H   
30050.0	36060.0	1.78	N	2.4.2     	H   
36060.0	42070.0	1.74	N	2.4.2     	H   
42070.0	51090.0	1.71	N	2.4.2     	H   
51090.0	60100.0	1.6799999999999999	N	2.4.2     	H   
60100.0	75130.0	1.6499999999999999	N	2.4.2     	H   
75130.0	90150.0	1.6200000000000001	N	2.4.2     	H   
90150.0	120200.0	1.5700000000000001	N	2.4.2     	H   
120200.0	180300.0	1.5	N	2.4.2     	H   
180300.0	240400.0	1.4199999999999999	N	2.4.2     	H   
240400.0	300510.0	1.3500000000000001	N	2.4.2     	H   
300510.0	390660.0	1.27	N	2.4.2     	H   
390660.0	480810.0	1.2	N	2.4.2     	H   
480810.0	601010.0	1.1200000000000001	N	2.4.2     	H   
601010.0	751270.0	1.05	N	2.4.2     	H   
751270.0	901520.0	1.01	N	2.4.2     	H   
901520.0	1051770.0	.96999999999999997	N	2.4.2     	H   
1051770.0	1202020.0	.93999999999999995	N	2.4.2     	H   
1202020.0	1502530.0	.91000000000000003	N	2.4.2     	H   
1502530.0	1803040.0	.84999999999999998	N	2.4.2     	H   
1803040.0	2404050.0	.79000000000000004	N	2.4.2     	H   
2404050.0	2704550.0	.75	N	2.4.2     	H   
2704550.0	3005060.0	.69999999999999996	N	2.4.2     	H   
3005060.0	3606070.0	.66000000000000003	N	2.4.2     	H   
3606070.0	4207080.0	.64000000000000001	N	2.4.2     	H   
4207080.0	5108600.0	.63	N	2.4.2     	H   
5108600.0	6010120.0	.60999999999999999	N	2.4.2     	H   
6010120.0	9999999999999.0	.59999999999999998	S	2.4.2     	H   
-1.0	4510.0	2.3999999999999999	N	2.4.3     	H   
4510.0	6010.0	2.25	N	2.4.3     	H   
6010.0	9020.0	2.1000000000000001	N	2.4.3     	H   
9020.0	12020.0	2.0099999999999998	N	2.4.3     	H   
12020.0	18030.0	1.9199999999999999	N	2.4.3     	H   
18030.0	24040.0	1.8700000000000001	N	2.4.3     	H   
24040.0	30050.0	1.8300000000000001	N	2.4.3     	H   
30050.0	36060.0	1.78	N	2.4.3     	H   
36060.0	42070.0	1.74	N	2.4.3     	H   
42070.0	51090.0	1.71	N	2.4.3     	H   
51090.0	60100.0	1.6799999999999999	N	2.4.3     	H   
60100.0	75130.0	1.6499999999999999	N	2.4.3     	H   
75130.0	90150.0	1.6200000000000001	N	2.4.3     	H   
90150.0	120200.0	1.5700000000000001	N	2.4.3     	H   
120200.0	180300.0	1.5	N	2.4.3     	H   
180300.0	240400.0	1.4199999999999999	N	2.4.3     	H   
240400.0	300510.0	1.3500000000000001	N	2.4.3     	H   
300510.0	390660.0	1.27	N	2.4.3     	H   
390660.0	480810.0	1.2	N	2.4.3     	H   
480810.0	601010.0	1.1200000000000001	N	2.4.3     	H   
601010.0	751270.0	1.05	N	2.4.3     	H   
751270.0	901520.0	1.01	N	2.4.3     	H   
901520.0	1051770.0	.96999999999999997	N	2.4.3     	H   
1051770.0	1202020.0	.93999999999999995	N	2.4.3     	H   
1202020.0	1502530.0	.91000000000000003	N	2.4.3     	H   
1502530.0	1803040.0	.84999999999999998	N	2.4.3     	H   
1803040.0	2404050.0	.79000000000000004	N	2.4.3     	H   
2404050.0	2704550.0	.75	N	2.4.3     	H   
2704550.0	3005060.0	.69999999999999996	N	2.4.3     	H   
3005060.0	3606070.0	.66000000000000003	N	2.4.3     	H   
3606070.0	4207080.0	.64000000000000001	N	2.4.3     	H   
4207080.0	5108600.0	.63	N	2.4.3     	H   
5108600.0	6010120.0	.60999999999999999	N	2.4.3     	H   
6010120.0	9999999999999.0	.59999999999999998	S	2.4.3     	H   
-1.0	4510.0	2.3999999999999999	N	2.4.4     	H   
4510.0	6010.0	2.25	N	2.4.4     	H   
6010.0	9020.0	2.1000000000000001	N	2.4.4     	H   
9020.0	12020.0	2.0099999999999998	N	2.4.4     	H   
12020.0	18030.0	1.9199999999999999	N	2.4.4     	H   
18030.0	24040.0	1.8700000000000001	N	2.4.4     	H   
24040.0	30050.0	1.8300000000000001	N	2.4.4     	H   
30050.0	36060.0	1.78	N	2.4.4     	H   
36060.0	42070.0	1.74	N	2.4.4     	H   
42070.0	51090.0	1.71	N	2.4.4     	H   
51090.0	60100.0	1.6799999999999999	N	2.4.4     	H   
60100.0	75130.0	1.6499999999999999	N	2.4.4     	H   
75130.0	90150.0	1.6200000000000001	N	2.4.4     	H   
90150.0	120200.0	1.5700000000000001	N	2.4.4     	H   
120200.0	180300.0	1.5	N	2.4.4     	H   
180300.0	240400.0	1.4199999999999999	N	2.4.4     	H   
240400.0	300510.0	1.3500000000000001	N	2.4.4     	H   
300510.0	390660.0	1.27	N	2.4.4     	H   
390660.0	480810.0	1.2	N	2.4.4     	H   
480810.0	601010.0	1.1200000000000001	N	2.4.4     	H   
601010.0	751270.0	1.05	N	2.4.4     	H   
751270.0	901520.0	1.01	N	2.4.4     	H   
901520.0	1051770.0	.96999999999999997	N	2.4.4     	H   
1051770.0	1202020.0	.93999999999999995	N	2.4.4     	H   
1202020.0	1502530.0	.91000000000000003	N	2.4.4     	H   
1502530.0	1803040.0	.84999999999999998	N	2.4.4     	H   
1803040.0	2404050.0	.79000000000000004	N	2.4.4     	H   
2404050.0	2704550.0	.75	N	2.4.4     	H   
2704550.0	3005060.0	.69999999999999996	N	2.4.4     	H   
3005060.0	3606070.0	.66000000000000003	N	2.4.4     	H   
3606070.0	4207080.0	.64000000000000001	N	2.4.4     	H   
4207080.0	5108600.0	.63	N	2.4.4     	H   
5108600.0	6010120.0	.60999999999999999	N	2.4.4     	H   
6010120.0	9999999999999.0	.59999999999999998	S	2.4.4     	H   
0.0	250.0	.34999999999999998	N	3.1.2     	MEE 
0.0	300.0	.16	N	3.1.2     	MES 
0.0	15000.0	.0076930000000000002	N	3.1.2     	MET 
250.0	300.0	.32000000000000001	N	3.1.2     	MEE 
300.0	400.0	.14999999999999999	N	3.1.2     	MES 
300.0	400.0	.28999999999999998	N	3.1.2     	MEE 
400.0	500.0	.14000000000000001	N	3.1.2     	MES 
400.0	500.0	.28000000000000003	N	3.1.2     	MEE 
500.0	600.0	.13	N	3.1.2     	MES 
500.0	600.0	.26000000000000001	N	3.1.2     	MEE 
600.0	700.0	.12	N	3.1.2     	MES 
600.0	700.0	.25	N	3.1.2     	MEE 
700.0	800.0	.12	N	3.1.2     	MES 
700.0	800.0	.23000000000000001	N	3.1.2     	MEE 
800.0	1000.0	.11	N	3.1.2     	MES 
800.0	1000.0	.22	N	3.1.2     	MEE 
1000.0	1500.0	.10000000000000001	N	3.1.2     	MES 
1000.0	1500.0	.20999999999999999	N	3.1.2     	MEE 
1500.0	2000.0	.089999999999999997	N	3.1.2     	MES 
1500.0	2000.0	.17999999999999999	N	3.1.2     	MEE 
2000.0	3000.0	.080000000000000002	N	3.1.2     	MES 
2000.0	3000.0	.17000000000000001	N	3.1.2     	MEE 
3000.0	4000.0	.080000000000000002	N	3.1.2     	MES 
3000.0	4000.0	.14999999999999999	N	3.1.2     	MEE 
4000.0	5000.0	.070000000000000007	N	3.1.2     	MES 
4000.0	5000.0	.14999999999999999	N	3.1.2     	MEE 
5000.0	6000.0	.14000000000000001	N	3.1.2     	MEE 
5000.0	8000.0	.059999999999999998	N	3.1.2     	MES 
6000.0	999999999.0	.12	S	3.1.2     	MEE 
8000.0	10000.0	.059999999999999998	N	3.1.2     	MES 
10000.0	999999999.0	.040000000000000001	S	3.1.2     	MES 
15000.0	30000.0	.007332	N	3.1.2     	MET 
30000.0	45000.0	.0069719999999999999	N	3.1.2     	MET 
45000.0	60000.0	.0066109999999999997	N	3.1.2     	MET 
60000.0	75000.0	.0062509999999999996	N	3.1.2     	MET 
75000.0	90000.0	.0058900000000000003	N	3.1.2     	MET 
90000.0	110000.0	.0055290000000000001	N	3.1.2     	MET 
110000.0	130000.0	.005169	N	3.1.2     	MET 
130000.0	150000.0	.0048079999999999998	N	3.1.2     	MET 
150000.0	180000.0	.0044470000000000004	N	3.1.2     	MET 
180000.0	210000.0	.0040870000000000004	N	3.1.2     	MET 
210000.0	240000.0	.0037260000000000001	N	3.1.2     	MET 
240000.0	270000.0	.0033660000000000001	N	3.1.2     	MET 
270000.0	350000.0	.0030049999999999999	N	3.1.2     	MET 
