2003	01		S	S
2004	01		S	S
2005	01		S	S
2005	02		S	S
2006	01		S	S
2006	02		S	S
2007	01		S	S
2007	02		S	S
2008	01		S	S
2008	02		S	S
2009	01		S	S
2009	02		S	S
2010	01		S	S
2010	02		S	S
2010	03		N	S
2011	01		S	S
2011	02		S	S
2011	03		S	S
2012	01		S	S
2012	02		S	S
2012	03		S	S
2013	02		S	S
2013	03		S	S
2013	01		S	S
2014	02		S	S
2014	01		S	S
2014	03		S	S
2015	02		S	S
2015	01		S	S
2015	03		S	S
2016	02		S	S
2016	01		S	S
2016	03		S	S
2017	01		S	S
2017	02		S	S
2017	03		S	S
