0000000001	0000000001	0300266699	99.0	000000115609298	348.0	000000110920846	2	000000044169397
0000000002	0000000002	0300266699	81.0	000000084604380	387.0	000000129947265	2	000000089512282
0000000003	0000000003	0300266699	7.0	000000016993564	14.0	000000010414037	2	000000076675988
0000000004	0000000004	0700013178	6.0	000000040165209	106.0	000000012961967	2	000000013467792
0000000005	0000000005	0300266699	23.0	000000057176493	91.0	000000022575634	2	000000042075129
0000000006	0000000006	0700013178	3.0	000000000117360	144.0	000000024614309	2	000000037964741
0000000007	0000000007	0700013178	5.0	000000040157308	177.0	000000021987568	2	000000019795001
0000000008	0000000008	0300266699	70.0	000000080871443	316.0	000000104465018	2	000000065668704
0000000009	0000000009	0300266699	26.0	000000063572842	99.0	000000048645679	2	000000050741541
0000000010	0000000010	0300266699	27.0	000000016096329	106.0	000000018177913	2	000000052823125
0000000011	0000000011	0300266699	21.0	000000010618455	29.0	000000004371777	2	000000046576447
0000000012	0000000012	0300266699	25.0	000000044531250	133.0	000000031747154	2	000000033792351
0000000013	0000000013	0300266699	37.0	000000017040419	81.0	000000080000615	2	000000096752547
0000000014	0000000014	0700013178	5.0	000000000039976	185.0	000000022162415	2	000000041917440
0000000015	0000000015	0300266699	28.0	000000017880859	100.0	000000017651433	2	000000096523121
0000000016	0000000016	0300266699	29.0	000000021599991	96.0	000000022351317	2	000000097274447
0000000017	0000000017	0300266699	16.0	000000022618403	106.0	000000017933278	2	000000092589322
0000000018	0000000018	0300266699	10.0	000000029902657	55.0	000000029028057	2	000000091714722
0000000019	0000000019	0300266699	64.0	000000089122520	253.0	000000060579014	2	000000063171216
0000000020	0000000020	0700013178	3.0	000000040028497	154.0	000000018622831	2	000000020511774
0000000021	0000000021	0300266699	14.0	000000019326045	94.0	000000026096169	2	000000069941340
0000000022	0000000022	0300266699	24.0	000000039943544	83.0	000000025510870	2	000000055508666
0000000023	0000000023	0700013178	2.0	000000000090649	151.0	000000020189346	2	000000040610471
0000000024	0000000024	0300266699	90.0	000000063896639	304.0	000000106566662	2	000000098178689
0000000025	0000000025	0300266699	21.0	000000051530874	77.0	000000031286029	2	000000077933844
0000000026	0000000026	0300266699	17.0	000000024318717	80.0	000000020862473	2	000000074477600
0000000027	0000000027	0700013178	6.0	000000045438706	169.0	000000025365470	2	000000020537235
0000000028	0000000028	0300266699	16.0	000000015433064	61.0	000000017636191	2	000000076680727
0000000029	0000000029	0300266699	15.0	000000008770646	49.0	000000008704600	2	000000076614681
0000000030	0000000030	0300266699	20.0	000000030550209	62.0	000000012699478	2	000000058763950
0000000031	0000000031	0300266699	18.0	000000013406095	49.0	000000018352339	2	000000063710194
0000000032	0000000032	0700013178	4.0	000000000778581	126.0	000000016300316	2	000000036058970
0000000033	0000000033	0300266699	53.0	000000088476641	294.0	000000071755009	2	000000046988562
0000000034	0000000034	0300266699	17.0	000000028332373	70.0	000000037063684	2	000000055719873
0000000035	0000000035	0300266699	12.0	000000008534400	18.0	000000004955435	2	000000052140908
0000000036	0000000036	0700013178	4.0	000000000712011	132.0	000000026190238	2	000000061537197
0000000037	0000000037	0300266699	90.0	000000090766713	324.0	000000134248691	2	000000095622886
0000000038	0000000038	0700013178	4.0	000000065070115	128.0	000000016064867	2	000000012531949
0000000039	0000000039	0300266699	8.0	000000012740085	78.0	000000016495951	2	000000099378752
0000000040	0000000040	0300266699	22.0	000000021868557	106.0	000000032053902	2	000000109564097
0000000041	0000000041	0300266699	12.0	000000027972668	90.0	000000023433254	2	000000105024683
0000000042	0000000042	0300266699	23.0	000000043582196	110.0	000000028532373	2	000000089974860
0000000043	0000000043	0300266699	14.0	000000017101069	52.0	000000016402704	2	000000089276495
0000000044	0000000044	0700013178	5.0	000000001875887	179.0	000000024035235	2	000000034691297
0000000045	0000000045	0300266699	59.0	000000054249216	237.0	000000055451092	2	000000090478371
0000000046	0000000046	0300266699	4.0	000000002300840	20.0	000000003751564	2	000000091929095
0000000047	0000000047	0700013178	7.0	000000000962672	136.0	000000017297187	2	000000051025812
0000000048	0000000048	0300266699	12.0	000000035588510	44.0	000000015145076	2	000000071485661
0000000049	0000000049	0700013178	0.0	000000000000000	22.0	000000002753805	2	000000053779617
0000000050	0000000050	0300266699	35.0	000000057466044	103.0	000000044970188	2	000000058989805
0000000051	0000000051	0300266699	59.0	000000080666631	192.0	000000049234447	2	000000027557621
0000000052	0000000052	0300266699	5.0	000000003345068	15.0	000000004149665	2	000000028362218
0000000053	0000000053	0700013178	8.0	000000000696636	140.0	000000022088184	2	000000075171165
0000000054	0000000054	0300266699	24.0	000000026779438	128.0	000000138349275	2	000000139932055
0000000055	0000000055	0700013178	3.0	000000070057757	129.0	000000015391226	2	000000020504634
0000000056	0000000056	0300266699	67.0	000000092160635	285.0	000000081742256	2	000000129513676
0000000057	0000000057	0300266699	9.0	000000042203745	29.0	000000006389553	2	000000093699484
0000000058	0000000058	0300266699	20.0	000000022690562	102.0	000000033862088	2	000000104871010
0000000059	0000000059	0300266699	21.0	000000021432778	84.0	000000025776771	2	000000109215003
0000000060	0000000060	0300266699	24.0	000000037487085	88.0	000000022519652	2	000000094247570
0000000061	0000000061	2014445191	4.0	000000000635517	5.0	000000003464360	2	000000007166632
0000000062	0000000062	2014445191	18.0	000000000377867	0.0	000000000000000	2	000000006788765
0000000063	0000000063	2014445191	4.0	000000000121271	0.0	000000000000000	2	000000006667494
0000000064	0000000064	0300266699	20.0	000000055482225	96.0	000000048333388	2	000000087098733
0000000065	0000000065	0700013178	8.0	000000000325435	182.0	000000026050535	2	000000046229734
0000000066	0000000066	0300266699	80.0	000000070845734	256.0	000000115278442	2	000000131531441
0000000067	0000000067	0300266699	18.0	000000046076836	78.0	000000020559735	2	000000106014340
0000000068	0000000068	2014445191	15.0	000000000772483	0.0	000000000000000	2	000000005895011
0000000069	0000000069	0700013178	5.0	000000051471692	136.0	000000020116515	2	000000014874557
0000000070	0000000070	0300266699	47.0	000000033980852	198.0	000000078366875	2	000000150400363
0000000071	0000000071	0300266699	28.0	000000033539482	115.0	000000029631018	2	000000146491899
0000000072	0000000072	0300266699	32.0	000000057334147	152.0	000000059230146	2	000000148387898
0000000073	0000000073	2014445191	4.0	000000000145498	3.0	000000000305047	2	000000006054560
0000000074	0000000074	0700013178	5.0	000000000394489	181.0	000000026471741	2	000000040951809
0000000075	0000000075	0300266699	51.0	000000083069234	210.0	000000063781589	2	000000129100253
0000000076	0000000076	0300266699	33.0	000000047184622	143.0	000000047481256	2	000000129396887
0000000077	0000000077	0300266699	13.0	000000045237027	34.0	000000008850999	2	000000093010859
0000000078	0000000078	0700013178	4.0	000000000115954	174.0	000000023729315	2	000000064565170
0000000079	0000000079	2014445191	5.0	000000000404669	1.0	000000000013533	2	000000005663424
0000000080	0000000080	0300266699	100.0	000000111974752	331.0	000000154238397	2	000000135274504
0000000081	0000000081	0300266699	14.0	000000016302672	48.0	000000019050320	2	000000138022152
0000000082	0000000082	2014445191	4.0	000000000052684	1.0	000000000010804	2	000000005621544
0000000083	0000000083	0700013178	4.0	000000060095673	171.0	000000027328088	2	000000031797585
0000000084	0000000084	0300266699	28.0	000000039985309	153.0	000000043751940	2	000000141788783
0000000085	0000000085	0300266699	24.0	000000048531705	84.0	000000022650128	2	000000115907206
0000000086	0000000086	2014445191	3.0	000000000107064	1.0	000000000013533	2	000000005528013
0000000087	0000000087	0700013178	2.0	000000000013510	100.0	000000013225564	2	000000045009639
0000000088	0000000088	0300266699	10.0	000000010884704	55.0	000000017969040	2	000000122991542
0000000089	0000000089	0300266699	59.0	000000055891575	276.0	000000122291379	2	000000189391346
0000000090	0000000090	2014445191	3.0	000000000077083	0.0	000000000000000	2	000000005450930
0000000091	0000000091	0300266699	18.0	000000051425615	91.0	000000037288313	2	000000175254044
0000000092	0000000092	0300266699	36.0	000000024540512	76.0	000000024686340	2	000000175399872
0000000093	0000000093	0700013178	3.0	000000045027824	154.0	000000022157130	2	000000022138945
0000000094	0000000094	0300266699	47.0	000000085741142	194.0	000000058378555	2	000000148037285
0000000095	0000000095	0300266699	17.0	000000023896509	71.0	000000021446302	2	000000145587078
0000000096	0000000096	0300266699	14.0	000000004975000	35.0	000000004809291	2	000000145421369
0000000097	0000000097	0700013178	2.0	000000000020939	127.0	000000016677024	2	000000038795030
0000000098	0000000098	2014445191	8.0	000000000174698	0.0	000000000000000	2	000000005276232
0000000099	0000000099	0300266699	39.0	000000046216399	157.0	000000045259825	2	000000144464795
0000000100	0000000100	2014445191	8.0	000000000152531	8.0	000000000738480	2	000000005862181
0000000102	0000000102	0300266699	31.0	000000079799779	180.0	000000067028498	2	000000131693514
0000000103	0000000103	0300266699	15.0	000000020377304	90.0	000000025544712	2	000000136860922
0000000104	0000000104	0700013178	4.0	000000000826298	158.0	000000027229210	2	000000065197942
0000000105	0000000105	0300266699	19.0	000000026047191	98.0	000000029711972	2	000000140525703
0000000106	0000000106	0300266699	23.0	000000027432445	80.0	000000096095936	2	000000209189194
0000000107	0000000107	0300266699	4.0	000000003410915	35.0	000000014401696	2	000000220179975
0000000108	0000000108	0300266699	12.0	000000052906568	56.0	000000020047008	2	000000187320415
0000000109	0000000109	0700013178	4.0	000000070074523	117.0	000000022881986	2	000000018005405
0000000110	0000000110	2014445191	11.0	000000000781048	4.0	000000000738480	2	000000005819613
0000000112	0000000112	2314447398	10.0	000000002873326	12.0	000000009785987	2	000000006912661
0000000113	0000000113	0300266699	121.0	000000156691017	221.0	000000095415112	2	000000126044510
0000000114	0000000114	0300266699	43.0	000000041448171	136.0	000000064049109	2	000000148645448
0000000115	0000000115	0700013178	3.0	000000000248296	148.0	000000034375621	2	000000052132730
0000000116	0000000116	2314447398	13.0	000000001828403	9.0	000000001321302	2	000000006405560
0000000117	0000000117	0700013178	4.0	000000000641611	137.0	000000023301815	2	000000074792934
0000000118	0000000118	0300266699	75.0	000000058354692	244.0	000000081915471	2	000000172206227
0000000119	0000000119	0300266699	55.0	000000073500002	127.0	000000046873653	2	000000145579878
0000000120	0000000120	0300266699	42.0	000000050846658	121.0	000000053684852	2	000000148418072
0000000121	0000000121	0300266699	33.0	000000037491508	91.0	000000100319787	2	000000211246351
0000000122	0000000122	0300266699	24.0	000000026056228	95.0	000000024249468	2	000000209439591
0000000123	0000000123	2314447398	5.0	000000000841689	5.0	000000000481400	2	000000006045271
0000000124	0000000124	0300266699	23.0	000000056463158	91.0	000000038661977	2	000000191638410
0000000125	0000000125	0700013178	10.0	000000071146729	171.0	000000024496219	2	000000028142424
