00 	0.0	01		
01 	61000.0	01		
010	600000.0	01	N	MU
02 	150000.0	01	S	
03 	187500.0	01	S	
04 	210000.0	01	N	
05 	270000.0	01	N	
06 	330000.0	01	N	
07 	602000.0	01		
08 	121000.0	01		
09 	181000.0	01	N	06
10 	375000.0	01	S	02
11 	130000.0	01	N	02
12 	780000.0	01	N	03
13 	1200000.0	01	N	02
14 	8000000.0	02	N	07
15 	250000.0	01	S	
16 	312500.0	01	S	
17 	562500.0	01	S	
18 	750000.0	01	S	
19 	1125000.0	01	S	
20 	350000.0	01	S	01
21 	3000000.0	02	S	08
22 	600000.0	01	S	09
23 	150000.0	01	S	10
24 	100000.0	01	S	03
25 	2500000.0	01	S	11
26 	3000000.0	02	S	12
27 	650000.0	01	S	03
28 	75000.0	01	S	
E1 	480000.0	01	N	
E2 	630000.0	01	N	
E3 	930000.0	01	N	
E4 	1230000.0	01	N	
S01	150000.0	02	S	
S02	300000.0	02		
S03	450000.0	02		
S04	600000.0	02		
S05	900000.0	02		
S06	600000.0	02	S	13
S07	1500000.0	02	S	11
S08	2500000.0	02	S	11
S09	1000000.0	01	S	17
