contrato_ant	Contracte Ant.	fases	contrato_ant
cobros.cuenta_cargo	Compte Càrrec	cobros	cuenta_cargo
cobros.total_colegio	Total Col·legi	cobros	total_colegio
cobros.n_factura	Nº Factura	cobros	n_factura
cobros.asunto	Assumpte	cobros	asunto
cobros.listado_cobros	LLISTAT DE COBRAMENTS	cobros	listado_cobros
cobros.le_rogamos	Li preguem que com més aviat millor,aboni aquest import, de la manera~rque crea més convenient.	cobros	le_rogamos
cobros.n_factura_desde	Nº Factura Desde	cobros	n_factura_desde
cobros.esperamos_mayor_brevedad	'Esperem que el més aviat es posi en contacte amb~rel Col·legi, a fi de resoldre aquesta situació.'	cobros	esperamos_mayor_brevedad
cobros.opciones	Opcions	cobros	opciones
cobros.f_factura	Data Factura	cobros	f_factura
cobros.imprimir	Imprimir	cobros	imprimir
cobros.ayuda	Ajuda	cobros	ayuda
cobros.acumular_consulta	Acumular Consulta	cobros	acumular_consulta
cobros.salir	Sortir	cobros	salir
cobros.generar_carta_devolucion	Generar Carta Devolució	cobros	generar_carta_devolucion
cobros.datos_facturas	Dades Factures	cobros	datos_facturas
cobros.devuelto	Retornat	cobros	devuelto
cobros.departamento_administracion	Dpt. Administració COAATA	cobros	departamento_administracion
cobros.contabilizado	Comptabilitzat	cobros	contabilizado
cobros.n_cobros_centro	Nº de Cobraments per Centre	cobros	n_cobros_centro
cobros.todos_menos_baja	Mostrar tots menys els de baixa	cobros	todos_menos_baja:
cobros.serie	Sèrie	cobros	serie
cobros.n_cobros_todas_f_pago	Nº de cobraments per a totes les F.Pagament	cobros	n_cobros_todas_f_pago
cobros.total_centro	Total Centre	cobros	total_centro
cobros.n_cobros_banco	Nº cobraments per Banc	cobros	n_cobros_banco
cobros.num_copias_imprimir	Nom. Còpies a Imprimir	cobros	num_copias_imprimir
cobros.cobros_expedientes_centro	Llistat de Cobraments d'Expedients per CENTRE	cobros	cobros_expedientes_centro
cobros.incidencias_graves	* Existeixen incidències greus. NO podrà importar el fitxer en qüestió.	cobros	incidencias_graves
cobros.acceptar	Acceptar	cobros	acceptar
cobros.fecha_carta	Data Carta	cobros	fecha_carta
cobros.modif_forma_pago_banco_cabecera	Modifica la forma de pagament i el banc en la capçalera~rde les factures	cobros	modif_forma_pago_banco_cabecera
cobros.f_vencimiento	Data Venciment	cobros	f_vencimiento
cobros.n_col_nif	NºCol./NIF	cobros	n_col_nif
cobros.buscar	Cerca	cobros	buscar
cobros.aceptar	Acceptar	cobros	aceptar
cobros.usuario	Usuari	cobros	usuario
cobros.ref_bancaria	Referència Bancària	cobros	ref_bancaria
cobros.concepto	Concepte	cobros	concepto
cobros.n_cobros_todos_centros	Nº de Cobraments per a tots els Centres	cobros	n_cobros_todos_centros
cobros.n_cobros	Nº de cobraments	cobros	n_cobros
cobros.generar_f19	Generar F19	cobros	generar_f19
cobros.tipo_factura	Tipus Factura	cobros	tipo_factura
cobros.caso_domiciliacion_bancaria	En el cas de DOMICILIACIÓ BANCÀRIA, els cobraments~res quedaran com no pagats fins que es generi la~rcorresponents remesa (es llançarà automàticament la~rfinestra de remesar per a generar la mateixa)	cobros	caso_domiciliacion_bancaria
cobros.total_f_pago	Total D.Pagament	cobros	total_f_pago
cobros.incidencias	Incidències	cobros	incidencias
cobros.pagado	Pagat	cobros	pagado
cobros.buscar_marcar_fichero	Cercar/Marcar desde Fitxer	cobros	buscar_marcar_fichero
cobros.fecha_pago_desde	Data Pagament Desde	cobros	fecha_pago_desde
cobros.fecha_desde	Data Desde	cobros	fecha_desde
cobros.desmarcar_todos	Desmarcar tots	cobros	desmarcar_todos
cobros.n_emision	Nº Emissió	cobros	n_emision
cobros.cancelar	Cancel·lar	cobros	cancelar
cobros.facturas	Factures	cobros	facturas
cobros.añadir_todos	Afegir Tots	cobros	añadir_todos
cobros.incluir_remesa_cobros	Només s'inclouran en la remesa els cobraments marcats.	cobros	incluir_remesa_cobros
cobros.forma_pago	Forma Pagament	cobros	forma_pago
cobros.delegacion	Delegació	cobros	delegacion
cobros.n_c_nif	NºC./NIF	cobros	n_c_nif
cobros.expediente	Expedient	cobros	expediente
cobros.n_cobros_f_vencimiento	Nº cobraments per F.Venc	cobros	n_cobros_f_vencimiento
cobros.datos_cobros	Dades Cobraments	cobros	datos_cobros
cobros.total_f_vencimiento	Total D.Venc	cobros	total_f_vencimiento
cobros.contabilizada	Comptabilitzada	cobros	contabilizada
cobros.fecha_factura_desde	Data Factura Desde	cobros	fecha_factura_desde
cobros.n_cobros_todos_bancos	Nº de cobraments per a tots els Bancs	cobros	n_cobros_todos_bancos
cobros.formato	Format	cobros	formato
cobros.t_factura	T.Factura	cobros	t_factura
cobros.entregado	Lliurat	cobros	entregado
cobros.colegiado_clientes	Col·legiat/Clients	cobros	colegiado_clientes
cobros.borrador_previo	Esborrany previ	cobros	borrador_previo
cobros.n_remesa	Nº Remesa	cobros	n_remesa
cobros.banco	Banc	cobros	banco
cobros.importe	Import	cobros	importe
cobros.quitar_todos	Llevar Tots	cobros	quitar_todos
cobros.actualizar_datos	Actualitzar Dades	cobros	actualizar_datos
cobros.generar_asiento_cobro	Generar Seient per Cobrament	cobros	generar_asiento_cobro
cobros.fecha_pago	Data Pagament	cobros	fecha_pago
cobros.int_param_consulta_aceptar	Introdueixi els paràmetres de consulta i premi Acceptar	cobros	int_param_consulta_aceptar
cobros.desglosar_conceptos	Desglossar els conceptes en el fitxer F19.	cobros	desglosar_conceptos
cobros.actualizar	Actualitzar	cobros	actualizar
colegiados.datos_generales_pagos	Dades Generals, Pagaments	colegados	datos_general_pagos
colegiados.datos_src	Dades S.R.C.	colegiados	datos_src
colegiados.duplicar_colegiados	No es poden duplicar col.legiats	colegiados	duplicar_colegiados
colegiados.ficha_colegiado	Fitxa del Col.legiat	colegiados	ficha
colegiados.tipo_situacion	Tipo Situació	colegiados	tipo_situacion
colegiados.propietario	Propietari	colegiados	propietario
colegiados.valor_tipo_impuestos	Ha d'especificar un valor per al camp Tipus Impostos	colegiados	valor_tipo_impuestos
colegiados.procedencia	Procedència	colegiados	procedencia
colegiados.valor_concepto	Ha d'especificar un valor per al camp concepte	colegiados	valor_concepto
colegiados.valor_centro	Deu especificar el centre per a les factures.	colegiados	valor_centro
colegiados.sel_todo	Sel. Tot	colegiados	sel_todo
colegiados.colhasta	Fins	colegiados	colhasta
colegiados.todo_conceptos	Inclou tots els conceptes especificats en la llista amb els seus respectius imports.~~rLes dades de la factura seran els especificats.	colegiados	todos_conceptos
colegiados.fechaf	Data Fi	colegiados	fechaf
colegiados.campo_codigo_provincia	Ha d'especificar un valor en el camp codi província	colegiados	campo_codigo_provincia
colegiados.banco_dom	Banc Domiciliació	colegiados	banco_dom
colegiados.porc_contratos	% Contractes	colegiados	porc_contratos
colegiados.colegiados.conv_recono_humolog_espanya	Convalidació, Reconeiximent u Homologació a Espanya	colegiados	conv_recono_humolog_espanya
colegiados.complemento2	Complement 2	colegiados	complemento2
