contrato_ant	Contracte Ant.	fases	contrato_ant
colegiados.sit_prof_incom	Situacions Professionals / Incompatibilitats	colegiados	sit_conf_imcom
colegiados.activa	Activa	colegiados	activa
colegiados.situaciones	Situacions	colegiados	situaciones
colegiados.valor_importe	Ha d'especificar un valor per al camp import	colegiados	valor_importe
colegiados.retencion_IRPF	Retenció IRPF	colegiados	retencion_IRPF
colegiados.listado_general	Llistat General	colegiados	listado_general
colegiados.listado_inf_eco	Llistat D'Informació Económica	colegiados	listado_inf_eco
colegiados.fecha_col	D. Col.legiació	colegiados	fecha_col
colegiados.nivel_provincial	Nivell provincial	colegiados	nivel_provincial
colegiados.ambito	Àmbit	colegiados	ambito
colegiados.fcolegiacion	Data Col.letgiació	colegiados	fcolegiacion
colegiados.fallo_captura	Impossible generar els documents per un error en la captura de dades	colegiados	fallo_catptura
colegiados.duplicar_caracteristicas	No es poden duplicar característiques..?	colegiados	duplicar_caracteristicas
colegiados.coldesde	Col. Desde	colegiados	coldesde
colegiados.ape_sociedad	Cognoms/Societat	colegiados	ape_sociedad
colegiados.situaciones_incompat	Dades Situacions, Incompabilitats	colegiados	situaciones_incompatibilidades
colegiados.digitos_control_con	Els digits de control no són vàlids per al compte bancari.(Conceptes Facturables)	colegiados	digito_control_con
colegiados.fecha_fin	Data Fi	colegiados	fecha_fin
colegiados.digitos_control	Els digits de control no són vàlids per al compte bancari.(Dades Generals,pagaments)	colegiados	genera_campo_voluntaria
colegiados.lista_personal	Llista personal col.legiats	colegiados	lista_personal
colegiados.nombre_lista	Nom Llista	colegiados	nombre_lista
colegiados.porcentaje	Porcentatge	colegiados	porcentaje
colegiados.obs	Obs.	colegiados	obs
colegiados.campo_tipo_via	Ha d'especificar un valor en el camp tipus de via	colegiados	campo_tipo_via
colegiados.delegacion	Delegació	colegiados	delegacion
colegiados.incompat.	Incompat.	colegiados	incompat.
colegiados.campo_agrupacion	Ha d'especificar un valor en el camp agrupacó	colegiados	campo_agrpacion
colegiados.tel_movil	Telèfon Mòbil	colegiados	tel_movil
colegiados.irpf_distinto	Aquest col.legiat té un IRPF distint a %s	colegiados	distinto_irpf
colegiados.num_mutualista	Nom. Mutualista	colegiados	num_mutualista
colegiados.premaat	Aquest Col·legiat ja té una fitxa oberta en PREMAAT	colegiados	premaat
colegiados.forma_pago	Forma de Pagament	colegiados	forma_pago
colegiados.datos_bancarios	Dades Bancaris	colegiados	datos_bancarios
colegiados.dom_correspondencia	Ha d'especificar un domicili per a correspondència	colegiados	dom_correspondencia
colegiados.agrupacion	Agrupació	colegiados	agrupacion
colegiados.fecha_sit	Data Situac.	colegiados	fecha_sit
colegiados.campo_nif	Ha d'especificar un valor en el camp nif	colegiados	campo_nif
colegiados.msg_clientes_cod_poblacion	Existeixen clients amb aquest codi de població	colegiados	msg_clientes_cod_poblacion
colegiados.nom_banco_sucur	Nom Banc	colegiados	nom_banco_sucur
colegiados.incluir_todos	Inclou tots els conceptes especificats en la llista amb els seus respectius imports.~~rLes dades de la factura seran els especificats.	colegiados	incluir_todos
colegiados.seleccion_colegiado	?Seleccioni sol un col·legiat per generar el document	colegiados	seleccion_colegiado
colegiados.sit_resid_ejer	Sit. Resid. Exerc.	colegiados	sit_resid_ejer
colegiados.consejo	Nº Consell	colegiados	consejo
colegiados.cesion_datos_int	Cesió de Dades/Internet	colegiados	cesion_datos_int
colegiados.boora_con_fac_extra_col	Elimina conceptes dom. extres de col.legiats	colegiados	boora_con_fac_extra_col
colegiados.identificacion	Identificació	colegiados	identificacion
colegiados.concepto	Concepte	colegiados	concepto
colegiados.desc_orientacion_prof	Descripció Orientació Professional	colegiados	desc_orientacion_prof
colegiados.con_domiciliables_may0	Existeixen conceptes domiciliables amb imports majors a 0 que són suceptibles a facturació	colegiados	con_domiciliables_may0
colegiados.num_valido	Deu introduir un nombre de col.legiat vàlid.	colegiados	num_valido
colegiados.ctabanco_dom	Compte Bancari Domiciliació	colegiados	ctabanco_dom
colegiados.desc_manual	Descripció Manual	colegiados	desc_manual
colegiados.f_registro_escuela	D. Registre Escola	colegiados	f_registro_escuela
colegiados.fecha_fin_carrera	D. Fi Carrera	colegiados	fecha_fin_carrera
colegiados.denominacion_titulo	Denominació Títol	colegiados	denominacion_titulo
colegiados.situacion	Situació	colegiados	situacion
colegiados.col_consejo	Col.legi + Consell	colegiados	col_consejo
colegiados.fecha_inicio	Data Inici	colegiados	fecha_inicio
colegiados.permiso_trabajo_colegiados_paises	Permís de Treball Col.legiats entre Països	colegiados	permiso_trabajo_colegiados_paises
colegiados.grupo	Grup	colegiados	grupo
colegiados.ftitulacion	Data Titulació	colegiados	ftitulacion
colegiados.fecha-alta	Data Alta	colegiados	fecha-alta
colegiados.foto	Poseeïx fotografia	colegiados	foto
colegiados.general_campo_irpf	Ha d'especificar en la pestanya de Dades Generals, pagaments (Comptabilitat) un valor en elretenció IRPF.	colegiados	genera_campo_irpf
colegiados.busqueda_rapido_cli	Cerca ràpida de Clients	colegiados	busqueda_rapido_cli
colegiados.cuotas_domic	Quotes,Domicil.liacions	colegiados	cuotas_domic
colegiados.ejerciente	Exercient	colegiados	ejerciente
Incluir SÓLO los conceptos facturables al colegiado en su ficha	Incloure SOLS els conceptes facturables al col.legiat en la seva fitxa	colegiados	Incluir SÓLO los conceptos facturables al colegiado en su ficha
colegiados.cuenta_personal	Comte Personal	colegiados	cuenta_personal
colegiados.poblacion_activa	Població Activa	colegiados	poblacion_activa
colegiados.forma_pago_cuotas	Forma pagament de les Cuotes	colegiados	forma_pago_cuotas
colegiados.valor_banco	Deu especificar el banc per a les factures.	colegiados	valor_banco
colegiados.embargo_hacienda	Embargament Hasienda	colegiados	embargo_hacienda
colegiados.conv_recono_humolog_espanya	Convalidació, Reconoiximent u Homologació d'Espanya	colegiados	conv_recono_humolog_espanya
colegiados.contratos	Contractes	colegiados	contratos
colegiados.contabilidad	Comptabilitat	colegiados	contabilidad
colegiados.busqueda_rapido_col	Cerca ràpida de Col·legiats	colegiados	busqueda_rapido_col
colegiados.f_caduc	D. Caduc.	colegiados	f_caduc
colegiados.conceptos_facturables	Conceptes Facturables	colegiados	conceptos_fact
colegiados.telefonos	Telèfons	colegiados	telefonos
colegiados.f_ini_fin	La data inici no pot ser més gran que la data final.	colegiados	f_ini_fin
colegiados.colegio	Col.legi	colegiados	colegio
colegiados.col_con_terceros	Col.legi + Consell + Tercers	colegiados	col_con_terceros
colegiados.colegiado	Col.legiat	colegiados	colegiado
colegiados.escuela	Escola	colegiados	escuela
colegiados.f_ini_fin_menor	La data final no pot ser menor que la data d'inici.	colegiados	f_ini_fin:menor
colegiados.proceso_finalizado	Proces Finalitzat.?	colegiados	proceso_finalizado
colegiados.campo_alta	Ha d'especificar un valor en el camp tipus d'alta	colegiados	campo_alta
colegiados.tel_profesional	Telèfon Prof.	colegiados	tel_profesional
colegiados.supera_honorarios	La quantitat a pagar pel col·legiat supera els seus honoraris	colegiados	supera_honorarios
colegiados.parametros_busqueda	Paràmetres de Búsqueda	colegiados	parametros_busqueda
colegiados.perfil_prof	Perfil Professional	colegiados	perfil_prof
colegiados.campo_codigo_postal	Ha d'especificar un valor en el camp codi postal	colegiados	campo_codigo_postal
colegiados.ciculares_impresas	Desitja rebre circulars impreses:	colegiados	ciculares_impresas
colegiados.fbaja	Data Baixa	colegiados	fbaja
colegiados.fecha	Data	colegiados	fecha
colegiados.fax	Fax	colegiados	fax
colegiados.telefono_web	Telèfon Web	colegiados	telefono_web
colegiados.fecha_baja	Data Baixa	colegiados	fecha_baja
colegiados.colegiados	Col.legiats	colegiados	colegiados
general.ordenar_por	Ordenar per	colegiados	ordenar_por
colegiados.duplicado_nif	Existeis un altre col.legiat amb aquet NIF	colegiados	duplicado_nif
colegiados.activar_imagen	Avans d'activar una imatge ha d'indicar el seu tipus.	colegiados	activar_imagen
consultas.seleccion	Seleccione una consulta de la llista :	consultas	texto_seleccion
Del Usuario	De l~'usuari	consultas	del usuario
consulta.consulta	Consulta	consultas	consulta
consultas.seleccion_titulo	Selecció de consultes	consultas	titulo_seleccion
mail.asunto	Assumpte	email	asunto
mail.adjunto	Adjunt	email	adjunto
mail.sin_adjuntos	Enviar sense adjunts	email	sin_adjuntos
mail.password_mal	No ha intriduït cap password per a l'usuari %s	email	password_mal
mail.direccion	Adreça	email	direccion
mail.plantilla	Plantilla	email	plantilla
mail.html	Format HTML	email	html
mail.cuerpo	Missatge	email	cuerpo
factu_fa.expediente	Expedient	factu_fa	expediente
factura_e.iva16	Els tipus d'IVA al 16% i 7% només són vàlids per a dates anteriors al	facturas	iva16
msg_factura.cambio_iva	L'IVA per defecte i IVA reduït han canviat des de l'1 de Juliol de 2010	facturas	cambio_iva
factura_e.continuar	Desitja continuar?	facturas	continuar
factura_e.iva18	Els tipus d'IVA al 18% i 8% només són vàlids per a dates posteriors al	facturas	iva18
factura_e.fecha_iva	El canvi de data implica canvis en el tipus d'IVA, revisi les línies de conceptes	facturas	fecha_iva
fases.col_pagar_directamente	Aquest col.legiat no pertany a aquest contracte.	fases	col_pagar_directamente
fases.admon	Fases Admó	fases	admon
fases.f_inicio	D. Inici	fases	f_inicio
fases.f_inicio_obra	No existeis data d'inici d'obra	fases	f_inicio_obra
fases.superficie	Superficie	fases	superficie
fases.col_sit_res¡dente	Col.legiats Sit. Resident	fases	col_sit_res¡dente
fases.sup_gar	Sup. Gar.	fases	sup_gar
fases.col_pagar_directamente_gastos	El col·legiat desitja pagar directament les despeses, Sortirà un imprès que ha de signar	fases	col_pagar_directamente_gastos
fases.f_reclam	Data Reclam.	fases	f_reclam
fases.titulo	Títol	fases	titulo
fases.col_sit_pro	Col.legiats Sit. Professional	fases	col_sit_pro
fases.puerta	Porta	fases	puerta
fases.propiedad	Propietat	fases	propiedad
fases.tipo_promotor	Tipus Promotor	fases	tipo_promotor
fases.uso_edi	Ús Edifici	fases	uso_edi
fases.tipo_viviendas	Tipus Habitatges	fases	tipo_viviendas
fases.sup_otros	Sup. Altres	fases	sup_otros
fases.n_edificios	Nº Edificis	fases	n_edificios
fases.tipo_reclam	Tipus Reclam.	fases	tipo_reclam
fases.cte	No pertany al CTE	fases	cte
fases.edi_bajo_rasante	Edif. Sota Rasant	fases	edi_bajo_rasante
fases.abono	D.Visat	fases	abono
fases.n_plantas	Nº Plantes	fases	n_plantas
fases.n_visado	Nº Visat	fases	n_visado
fases.estudio_geotecnico	Estudi Geotècnic	fases	estudio_geotecnico
fases.f_visado	Data VºBº	fases	f_visado
fases.poblacion	Població	fases	poblacion
fases.cambio_col	Se ha produit un canvi de col.legiat	fases	cambio_col
fases.msg_asociados	 és una societat. Falta introduir el col- legiat de la Societat, en la pestanya de Col.legiats.	fases	msg_asociados
fases.sup_vdas	Sup. Hab.	fases	sup_vdas
fases.col_pertenece_contrato	Aquest col.legiat no pertany a aquest contracte.	fases	col_pertenece_contrato
fases.cliente_auto_doc	Client Autoritzat a retirar documentació	fases	cliente_auto_doc
fases.control_calidad_ext	Control de Qualitat Extern	fases	control_calidad_ext
fases.contrato_control	Contracte Control	fases	contrato_control
fases.celda	Nº Full Enc.	fases	celda
fases.control_calidad_int	Control de Qualitat Intern	fases	control_calidad_int
fases.corte_tiquet	Talle el tiquet abans de continuar	fases	corte_tiquet
fases.r_catastral	Catastre	fases	r_catastral
fases.col_sit_col	Col.legiats Sit. Col.legial	fases	col_sit_col
fases.contrato_minutas	Contracte Minutas	fases	contrato_minutas
fases.emplezamiento	Emplaçament	fases	emplezamiento
fases.altura_edi	Altura Edifici	fases	altura_edi
fases.medianeras	Entre Mitgeres	fases	medianeras
fases.calle	Nùm.	fases	calle
fases.f_cfo	D. C.F.O.	fases	f_cfo
fases.piso	Pis	fases	piso
fases.destino_int	Destí Intern	fases	destino_int
fases.n_viviendas	Nº Habitatges	fases	n_viviendas
fases.f_introduccion	Data D'introducció	fases	f_introduccion
fases.f_abono	Data Visat	fases	f_abono
fases.ellas_vpo	Vpo's	fases	ellas_vpo
fases.pe_material	Pressupost	fases	pe_material
fases.representante	Representant	fases	representante
fases.f_cfd	Data C.F.D	fases	f_cfd
fases.f_emision	Data Emisió	fases	f_emision
fases.contrato_prinicpal	Contracte Principal	fases	contrato_prinicpal
fases.tipo_actuacion	Tipus D'Actuació	fases	tipo_actuacion
fases.tipo_registro	Tipus Registre	fases	tipo_registro
fases.ventana_importacion	La finestra de importacion de Visared està activa, cierrela per a continuar.	fases	ventana_importacion
fases.tipo_obra	Tipus D'obra	fases	tipo_obra
fases.tipo_gestion	Tipus de Gestió	fases	tipo_gestion
fases.tipo_gestio	Tipus Gestió	fases	tipo_gestio
fases.reg_preasignados_exp	Registres Preasignats de l'expedient	fases	reg_preasignados_exp
fases.reg_es	Registre E/S	fases	reg_es
fases.reclamaciones	Reclamacions	fases	reclamaciones
fases.presupuestos	Total/Parcial	fases	presupuestos
fases.presupuesto	Presupost	fases	presupuesto
fases.pendiente	Pendent	fases	pendiente
fases.otros_documentos	Altres Documents	fases	otros_documentos
fases.otros_doc_fase	Altres documents de la fase	fases	otros_doc_fase
fases.otros_datos	Altres Dades	fases	otros_datos
fases.opciones	Opcions >>	fases	opciones
fases.observaciones_doble_clic	Observacions (doble clic per a maximitzar)	fases	observaciones_doble_clic
fases.obra_administracion	Obra Administració	fases	obra_administracion
fases.nif_representante	NIF Representant	fases	nif_representante
fases.n_viv	Nom. Viv	fases	n_viv
fases.n_sal_arch_exp	Arx. Exp:	fases	n_sal_arch_exp
fases.n_sal_arch_cont	Nº Visat	fases	n_sal_arch_cont
fases.n_expediente	Nom. Expedient	fases	n_expediente
fases.n_exp	Nº Exp.	fases	n_exp
fases.n_edif	Nom. Edif.	fases	n_edif
fases.n_colegiado	Nom. Col.legiat	fases	n_colegiado
fases.n_coleg	Nom. Col.leg.	fases	n_coleg
fases.n_avisos	Nº Avis	fases	n_avisos
fases.n_aviso	Nº Avís	fases	n_aviso
fases.msg_valor_tipo_obra	Ha d'especificar un valor en el camp tipus obra	fases	msg_valor_tipo_obra
fases.msg_valor_tipo_actuacion	Ha d'especificar un valor en el camp Tipus D'Actuació	fases	msg_valor_tipo_actuacion
fases.msg_valor_promotor_estadisticas	Ha d'especificar el tipus de promotor en la fitxa d'estadístiques	fases	msg_valor_promotor_estadisticas
fases.msg_valor_emplazamiento	Ha d'especificar un valor en el camp empleçament	fases	msg_valor_emplazamiento
fases.msg_valor_destino_uso_obra	Ha d'especificar un valor en el camp destí o ús d'obra	fases	msg_valor_destino_uso_obra
fases.msg_valor_destino:uso_obra	Ha d'especificar un valor en el camp destí o ús d'obra	fases	msg_valor_destino:uso_obra
fases.msg_valor_campo	Deu especificar una data al camp	fases	msg_valor_campo
fases.msg_tipo_informe	Deu sel.leccionar un tipus d'informe.	fases	msg_tipo_informe
fases.msg_tipo_fes_col	S'ha canviat el tipus de gestió dels col·legiats	fases	msg_tipo_fes_col
fases.msg_tiene_musaat	- Té Musaat	fases	msg_tiene_musaat
fases.msg_sociedad_socio	Una Societat ha de tenir almenys un soci	fases	msg_sociedad_socio
fases.msg_sel_doc	Sel.lecciona Document	fases	msg_sel_doc
fases.msg_reparos_notificados_mail	Les següents objeccions no han estat notificats per falta de Email de les seves col·legiats :	fases	msg_reparos_notificados_mail
fases.msg_reparos_caract	Existeisen 2 o més objeccions amb les mateixes característiques	fases	msg_reparos_caract
fases.msg_reparo_sub	L'objecció ja ha estat resolt amb anterioritat.	fases	msg_reparo_sub
fases.msg_reparo_mod_estado_con	Aquest tipus d'objecció modifica l'estat actual del contracte, Desitja continuar?	fases	msg_reparo_mod_estado_con
fases.msg_rep_no_existe_alta	Aquest representant NO existeix, Desitja donar-lo d'alta?	fases	msg_rep_no_existe_alta
fases.msg_rep_no_existe	El representant NO existeis	fases	msg_rep_no_existe
fases.msg_relacion_expediente	En relació a l'expedient	fases	msg_relacion_expediente
fases.msg_recalcula_honorarios	Desitja recalcular els honoraris del contracte en funció del percentatge	fases	msg_recalcula_honorarios
fases.msg_querido_amigo	Benvolgut company :	fases	msg_querido_amigo
fases.msg_prop_no_existe_pregunta	La propietat NO existeis, Desitja donarla d'alta?	fases	msg_prop_no_existe_pregunta
fases.msg_porcentaje_mayor_100	El percentatge total és superior a 100. Rectifiqui'l o es farà el repartiment proporcionalment	fases	msg_porcentaje_mayor_100
fases.msg_pob_mopu	Aquesta població ha de tindre codi MOPU	fases	msg_pob_mopu
fases.msg_permisos_suficientes	No té permisos suficiets per a modificar aquest valor.	fases	msg_permisos_suficientes
fases.msg_permisos:suficientes	No té permisos suficiets per a modificar aquest valor.	fases	msg_permisos:suficientes
fases.msg_permisos	No té permisos suficients per a modificar aquest valor	fases	msg_permisos
fases.msg_parametros_calculo	Introduisca el paràmetres de Càlcul	fases	msg_parametros_calculo
fases.msg_pagador_participacion	Ha d'haver almenys un client PAGADOR en la fase amb una participació major que 0.	fases	msg_pagador_participacion
fases.msg_observado_reparos	, s'han observat les següents OBJECCIONS :	fases	msg_observado_reparos
fases.msg_prop_no_existe	La propietat NO existeis	fases	msg_prop_no_existe
fases.msg_numero_col_fila	El nombre de col.legiat de la fila	fases	msg_numero_col_fila
fases.msg_no_permisos_accion	No Té Permís Per a Realitzar Aquesta Acció	fases	msg_no_permisos_accion
fases.msg_nif_cliente	Ha d'indicar el nif de client, o no existeix cap client amb aquest NIF	fases	msg_nif_cliente
fases.msg_recalcular	Desitja recalcular?	fases	msg_recalcular
fases.msg_nif_9	El NIF/CIF ha de ser de 9 posicions.	fases	msg_nif_9
fases.msg_mod_hono	Desitja modificar els honoraris existents?	fases	msg_mod_hono
fases.msg_marcar_col_funcionario	Atenció!!! : Marcar aquest col·legiat com funcionari suposarà que no se li cobrarà MUSAAT en obres oficials	fases	msg_marcar_col_funcionario
fases.msg_reparo_estado_actual	No es poden inserir objeccions en l'estat actual.	fases	msg_reparo_estado_actual
fases.msg_inci_col	Atenció !!! Inciddències. Col.legiat:	fases	msg_inci_col
fases.msg_inci_cli	Atenció !!! Inciddències. Client:	fases	msg_inci_cli
fases.msg_importar_contrato_actual	No pot importar un contracte en l'estat actual. Ha d'estar en estat preasignado	fases	msg_importar_contrato_actual
fases.msg_generar_aviso_10	Desitja generar un avís del 10% de MUSAAT?	fases	msg_generar_aviso_10
fases.msg_fichero:usado_aplicacion	Comprovi que el fitxer no ho està utilitzant alguna aplicació	fases	msg_fichero:usado_aplicacion
fases.msg_ficha_estadistica_comp	Hauria d'emplenar l'els/següent/s camp/s en la fitxa d'Estadística:	fases	msg_ficha_estadistica_comp
fases.msg_ficha_estadistica	En la fitxa d'Estadística	fases	msg_ficha_estadistica
fases.msg_tipo_actuacion_tipo_obra	Ha d'indicar primer el tipus d'actuació i el tipus d'obra per a poder informar de les accions a realitzar	fases	msg_tipo_actuacion_tipo_obra
fases.msg_fase_exp	ATENCION !!! Aquesta fase JA existeix dintre d'aquest expedient.	fases	msg_fase_exp
fases.msg_factura_colegiado	Existeix almenys un avís de factura assignat a un col·legiat i/o client no vinculat al contracte	fases	msg_factura_colegiado
fases.msg_exp_dtos_regularizacion	El expediente no tiene descuentos por lo que no tiene sentido la regularización	fases	msg_exp_dtos_regularizacion
fases.msg_valor_contrato_vinculados	Aquest Contracte te registres vinculats.	fases	msg_valor_contrato_vinculados
fases.msg_exp_dtos_regul	L'expedient no té descomptes pel que no té sentit la regularització	fases	msg_exp_dtos_regul
fases.msg_estado_operacion_visar	L'estat del contracte NO permet l'operació de Desvisar	fases	msg_estado_operacion_visar
fases.msg_estado_contrato	L'estat del contracte és:	fases	msg_estado_contrato
fases.msg_valor_f_entrada	Ha d'especificar un valor en el camp data d'etrada	fases	msg_valor_f_entrada
fases.msg_estado_anterior	La fase passarà a estar en l'estat anterior - Registrat (en anàlisi)	fases	msg_estado_anterior
fases.msg_error_crear_dir	Error al crear el directori on es copiaran els documents associats a aquest contracte.	fases	msg_error_crear_dir
fases.msg_enviar_contrato	ATENCIÓ!! Va a procedir a enviar el contracte seleccionat a un Expedient d'Esborrat.	fases	msg_enviar_contrato
fases.msg_datos_extendidos_fin_obra	No pot definir-se les dades esteses del final d'obra si no es grava amb antelació la línia del final d'obra corresponent	fases	msg_datos_extendidos_fin_obra
fases.msg_datos_asociados	Les dades dels associats han canviat, Desitja guardar-los?	fases	msg_datos_asociados
fases.msg_crear_avisos_guardado	No és possible crear avisos si el contracte no està prèviament gravat	fases	msg_crear_avisos_guardado
fases.msg_contrato_tiene	Aquest contracte té	fases	msg_contrato_tiene
fases.n_consejo	Nº Consell	fases	n_consejo
fases.msg_contrato_reparos_subsa_exis	Ha de resoldre les objeccions existents abans de visar	fases	msg_contrato_reparos_subsa_exis
fases.msg_contrato_reparos_subsa	Aquest contracte té objeccions no resoltes	fases	msg_contrato_reparos_subsa
fases.msg_contrato_nuevo	Pot ser que el contracte no sigui nou, Desitja continuar amb la importació?	fases	msg_contrato_nuevo
fases.n_registro	Nº Reg.	fases	n_registro
fases.msg_contrato_coincide_presupuesto	Aquest contracte coincideix en pressupost, tipus d'actuació i promotors amb la següent llista de contractes	fases	msg_contrato_coincide_presupuesto
fases.msg_contrato_borrar_con-avisos	El contracte que va a eliminar té avisos, desitja eliminar-lo?	fases	msg_contrato_borrar_con-avisos
fases.msg_contrato_borrar_con_avisos	El contracte que va a eliminar té avisos, desitja eliminar-lo?	fases	msg_contrato_borrar_con_avisos
fases.nif_cliente	NIF Client	fases	nif_cliente
fases.msg_con_reparos_pdtes_sub	Aquest contracte té objecció/s pendent/s de resoldre	fases	msg_con_reparos_pdtes_sub
fases.msg_con_estado_avisos	El contracte està en un estat en el qual no es permet crear avisos	fases	msg_con_estado_avisos
fases.msg_combinacion_musaat	Aquesta combinació tipus act-tipus d'obra no la recull MUSAAT	fases	msg_combinacion_musaat
fases.msg_col_participacion	Ha d'haver almenys un col·legiat amb participació superior a0 .	fases	msg_col_participacion
fases.msg_col_f1	El nombre de Col·legiat no és vàlid o no aquesta dau d'alta (fila 1)	fases	msg_col_f1
fases.msg_col_activos_contrato	No existeisen col.legiats actius per aquest contracte	fases	msg_col_activos_contrato
fases.msg_codigo_inexistente	Aquest codi no existeix	fases	msg_codigo_inexistente
fases.paga_gastos_cliente	Paga gastos Clients	fases	paga_gastos_cliente
fases.msg_cobrar_aviso	No es pot cobrar l'avis.	fases	msg_cobrar_aviso
fases.msg_cli_no_existe	El client NO existeis	fases	msg_cli_no_existe
fases.msg_cli_no_exist	Aquest client NO existeix, Desitja donar-lo d'alta?	fases	msg_cli_no_exist
fases.promotor	Promotor	fases	promotor
fases.msg_cli_duplicado	No pot haver un client duplicat	fases	msg_cli_duplicado
fases.msg_cli_avisos_asig_borrar	El client NO es pot eliminar , té Avisos Asignats	fases	msg_cli_avisos_asig_borrar
fases.msg_cli_avisos_asig	El Client té Avisos Assignats	fases	msg_cli_avisos_asig
fases.msg_cli_activos_contrato	No existeisen clients acius per aquest contracte	fases	msg_cli_activos_contrato
fases.msg_campo_tipo_doc_otros	Ha d'especificar el Tipus de Document en la Fitxa Altres Docs.	fases	msg_campo_tipo_doc_otros
fases.msg_campo_tipo	Ha d'especificar un valor en el camp tipus de la taula objeccions	fases	msg_campo_tipo
fases.msg_campo_sup_viv	Ha d'especificar un valor en el camp Suoerficie Vivenda	fases	msg_campo_sup_viv
fases.msg_campo_sup_otros	Ha d'especificar un valor en el camp Suoerficie Altres	fases	msg_campo_sup_otros
fases.msg_campo_sup_garage	Ha d'especificar un valor en el camp Suoerficie Garage	fases	msg_campo_sup_garage
fases.msg_campo_raparo	Ha d'especificar un valor en el camp objecció de la taula objeccions	fases	msg_campo_raparo
fases.msg_campo_id_col	Ha d'especificar un valor en el camp Col.legiats de la taula objeccions	fases	msg_campo_id_col
fases.msg_campo_fecha_intro_ficha_fin_obra	Ha d'especificar la data d'introducció a la fitxa fin d'obra.	fases	msg_campo_fecha_intro_ficha_fin_obra
fases.msg_campo_fecha_entrada_otros	Ha d'especificar la data d'entrada del document a la Fitxa Altres Docs.	fases	msg_campo_fecha_entrada_otros
fases.msg_campo_f_emision	Ha d'especificar un valor en el camp data d'emsisió de la taula objeccions	fases	msg_campo_f_emision
fases.msg_campo_dtos	Ha d'especificar un valor en el camp tipus descompte en la taula Descomptes	fases	msg_campo_dtos
fases.msg_campo_col_src	Ha d'especificar el col.legiat per a SRC.	fases	msg_campo_col_src
fases.msg_camp_tipo_gestion	Ha d'especificar un valor en el camp Tipus Gestió	fases	msg_camp_tipo_gestion
fases.msg_camp_pobalcion	La població és incorrecta, no existeix,deu donar d'alta poblacions.	fases	msg_camp_pobalcion
fases.msg_calcular_dtos_col	Desitja calcular els descomptes col·legials i de segur ara?	fases	msg_calcular_dtos_col
fases.msg_busca_cli_rep	No és possible buscar per client y repesentant al mateix temps.	fases	msg_busca_cli_rep
fases.msg_borrar_reparo_notificado	No es pot eliminar una objecció que ha estat notificat	fases	msg_borrar_reparo_notificado
fases.msg_borrar_fichero	No es pot eliminar el fitxer:	fases	msg_borrar_fichero
fases.msg_borrar_colegiado	El col.legiat no és pot eliminar	fases	msg_borrar_colegiado
fases.msg_avisos_asignados	- Té avisos asignats	fases	msg_avisos_asignados
fases.msg_aviso_pdte_cobro	Aquest avís està pendent de pagament	fases	msg_aviso_pdte_cobro
fases.msg_aviso_anulado	Aquest avís està anul.lat	fases	msg_aviso_anulado
fases.msg_asociados_porcentaje	 és una societat, ha d'introduir els associats i els seus percentatges sumar 100.	fases	msg_asociados_porcentaje
fases.msg_asignado_valor_contrato	Ha d'assignar-li valor per a poder eliminar contractes	fases	msg_asignado_valor_contrato
fases.msg_asignado_exp_eventos	No té assignat cap expedient en la taula Control d'Esdeveniments.	fases	msg_asignado_exp_eventos
fases.msg_asegurar_dir	Asseguri's que el directori	fases	msg_asegurar_dir
fases.msg_abonado_gastos_con	No s'han abonat tots les despeses del contracte	fases	msg_abonado_gastos_con
fases.modalidad	Delegació	fases	modalidad
fases.mas_datos	Més dades	fases	mas_datos
fases.incompatibilidades	Incompativilitats	fases	incompatibilidades
fases.imp_renuncia	'Desitja imprimir la renúncia?	fases	imp_renuncia
fases.honorarios	Honoraris	fases	honorarios
fases.gestion	Gestió	fases	gestion
fases.fase_dip	La fase no té DIP	fases	fase_dip
fases.colegio_destino	Col.legi destí	fases	colegio_destino
fases.f_retirada	Data Retirada	fases	f_retirada
fases.f_subsana	Data Subsanac.	fases	f_subsana
fases.f_entrada	Data Entrada	fases	f_entrada
fases.estados	Estats	fases	estados
fases.estado	Estat	fases	estado
fases.entrada_lista	No existeix cap entrada en la llista.~~rPer a preasignar un nº de registre, cal partir d'un expedient obert.	fases	entrada_lista
fases.emplazamiento	Emplaçament	fases	emplazamiento
fases.destino	Destí	fases	destino
fasesmas.visar_seguridad	Visar Seguretat	fasesmas	visar_seguridad
fasesmas.ultimo_numero_minuta	Últim nombre de minuta :	fasesmas	ultimo_numero_minuta
fasesmas.trabaja_empresa	Treballa per a Empresa	fasesmas	trabaja_empresa
fasesmas.seleccionar_contratos	Seleccioni el/els contracte/s :	fasesmas	seleccionar_contratos
fasesmas.ret.voluntaria	Ret. Voluntària	fasesmas	ret.voluntaria
fasesmas.renunciado	Renunciat	fasesmas	renunciado
fasesmas.ren	Ren.	fasesmas	ren
fasesmas.redaccion_proyecto	Redacció de Projecte	fasesmas	redaccion_proyecto
fasesmas.reclamar	Reclamar	fasesmas	reclamar
fasesmas.pulse_icono	Premi la icona per a visualitzar el mapa en el seu navegador. En cas de no trobar la situació,~rpot buscar-la manualment i pegar l'adreça en el camp de text.	fasesmas	pulse_icono
fasesmas.pertenece_alguna_sociedad	Pertany a alguna societat	fasesmas	pertenece_alguna_sociedad
