161972.76000000001	194367.31	8.9000000000000004	N	2.4.2     	C   
194367.31	226761.87	8.6999999999999993	N	2.4.2     	C   
226761.87	275353.70000000001	8.5500000000000007	N	2.4.2     	C   
275353.70000000001	323945.52000000002	8.4000000000000004	N	2.4.2     	C   
323945.52000000002	404931.90999999997	8.25	N	2.4.2     	C   
404931.90999999997	485918.28999999998	8.0999999999999996	N	2.4.2     	C   
485918.28999999998	647891.05000000005	7.8499999999999996	N	2.4.2     	C   
647891.05000000005	971836.56999999995	7.5	N	2.4.2     	C   
971836.56999999995	1295782.1000000001	7.0999999999999996	N	2.4.2     	C   
1295782.1000000001	1619727.6200000001	6.75	N	2.4.2     	C   
1619727.6200000001	2105645.9100000001	6.3499999999999996	N	2.4.2     	C   
2105645.9100000001	3239455.2400000002	6.0	N	2.4.2     	C   
3239455.2400000002	4049319.0499999998	5.5999999999999996	N	2.4.2     	C   
4049319.0499999998	4859182.8600000003	5.25	N	2.4.2     	C   
4859182.8600000003	5669046.6699999999	5.0499999999999998	N	2.4.2     	C   
5669046.6699999999	6478910.4900000002	4.8499999999999996	N	2.4.2     	C   
6478910.4900000002	8098638.1100000003	4.7000000000000002	N	2.4.2     	C   
8098638.1100000003	9718365.7300000004	4.5499999999999998	N	2.4.2     	C   
9718365.7300000004	12957820.9	4.25	N	2.4.2     	C   
12957820.9	14577548.59	3.75	N	2.4.2     	C   
14577548.59	16197276.210000001	3.5	N	2.4.2     	C   
16197276.210000001	19436731.460000001	3.5	N	2.4.2     	C   
19436731.460000001	22676186.699999999	3.2000000000000002	N	2.4.2     	C   
22676186.699999999	27535369.559999999	3.1499999999999999	N	2.4.2     	C   
27535369.559999999	32394552.43	3.0499999999999998	N	2.4.2     	C   
32394552.43	9999999999999.0	3.0	S	2.4.2     	C   
-1.0	24290.0	40.0	N	A.1.2     	C   
24290.0	32390.0	37.5	N	A.1.2     	C   
32390.0	48590.0	35.0	N	A.1.2     	C   
48590.0	64790.0	33.5	N	A.1.2     	C   
64790.0	121340.0	32.0	N	A.1.2     	C   
121340.0	129580.0	31.25	N	A.1.2     	C   
129580.0	161970.0	30.5	N	A.1.2     	C   
161970.0	194370.0	29.75	N	A.1.2     	C   
194370.0	226760.0	29.0	N	A.1.2     	C   
226760.0	275350.0	28.5	N	A.1.2     	C   
275350.0	323950.0	28.0	N	A.1.2     	C   
323950.0	404930.0	27.5	N	A.1.2     	C   
404930.0	485920.0	27.0	N	A.1.2     	C   
485920.0	647890.0	26.25	N	A.1.2     	C   
647890.0	971840.0	25.0	N	A.1.2     	C   
971840.0	1295780.0	23.75	N	A.1.2     	C   
1295780.0	1619730.0	22.5	N	A.1.2     	C   
1619730.0	2105650.0	21.25	N	A.1.2     	C   
2105650.0	2591560.0	20.0	N	A.1.2     	C   
2591560.0	3239460.0	18.75	N	A.1.2     	C   
3239460.0	4299940.0	17.5	N	A.1.2     	C   
4299940.0	4859180.0	16.899999999999999	N	A.1.2     	C   
4859180.0	5669050.0	16.25	N	A.1.2     	C   
5669050.0	6478910.0	15.75	N	A.1.2     	C   
6478910.0	8098640.0	15.25	N	A.1.2     	C   
8098640.0	9718370.0	14.25	N	A.1.2     	C   
9718370.0	12957820.0	13.25	N	A.1.2     	C   
12957820.0	14577550.0	12.5	N	A.1.2     	C   
14577550.0	16197280.0	11.75	N	A.1.2     	C   
16197280.0	19436730.0	11.0	N	A.1.2     	C   
19436730.0	22676190.0	10.75	N	A.1.2     	C   
22676190.0	27535270.0	10.5	N	A.1.2     	C   
27535270.0	32394550.0	10.25	N	A.1.2     	C   
32394550.0	9999999999999.0	10.0	N	A.1.2     	C   
-1.0	9720.0	40.0	N	A.1.3     	C   
9720.0	19440.0	36.5	N	A.1.3     	C   
19440.0	29160.0	34.799999999999997	N	A.1.3     	C   
29160.0	42110.0	34.0	N	A.1.3     	C   
