+     	+     	SIN NOMBRE                                                  	0000+	 	F		 
08001 	08001 	BARCELONA                                                   	00008	 	F		 
08005 	08005 	BARCELONA                                                   	00008	 	F		 
08006 	08006 	BARCELONA                                                   	00008	 	F		 
08010 	08010 	BARCELONA                                                   	00008	 	F		 
08013 	08013 	BARCELONA                                                   	00008	 	F		 
08014 	08014 	BARCELONA                                                   	00008	 	F		 
08015 	08015 	BARCELONA                                                   	00008	 	F		 
08021 	08021 	BARCELONA                                                   	00008	 	F		 
08024 	08024 	BARCELONA                                                   	00008	 	F		 
08025 	08025 	BARCELONA                                                   	00008	 	F		 
08026 	08026 	BARCELONA                                                   	00008	 	F		 
08027 	08027 	BARCELONA                                                   	00008	 	F		 
08036 	08036 	BARCELONA                                                   	00008	 	F		 
08037 	08037 	BARCELONA                                                   	00008	 	F		 
08170 	08170 	MONTORNES DEL VALLES                                        	00008	 	F		 
08210 	08210 	BARBERA DEL VALLES                                          	00008	 	F		 
08292 	08292 	ESPARRAGUERA                                                	00008	 	F		 
08330 	08330 	PREMIA DE MAR                                               	00008	 	F		 
08397 	08397 	PINEDA DE MAR                                               	00008	 	F		 
0840  	0840  	SIN NOMBRE                                                  	00008	 	F		 
09002 	09002 	BURGOS                                                      	00009	 	F		 
09005 	09005 	BURGOS                                                      	00009	 	F		 
10    	10    	SIN NOMBRE                                                  	00010	 	F		 
10004 	10004 	CACERES                                                     	00010	 	F		 
1004  	1004  	CACERES                                                     	00010	 	F		 
11009 	11009 	CADIZ                                                       	00011	 	F		 
11100 	11100 	SAN FERNANDO                                                	00011	 	F		 
11130 	11130 	CHICLANA DE FRONTERA                                        	00011	 	F		 
11160 	11160 	BARBATE                                                     	00011	 	F		 
11201 	11201 	ALGECIRAS                                                   	00011	 	F		 
11300 	11300 	LINEA DE LA CONCEPCION                                      	00011	 	F		 
11407 	11407 	JEREZ DE LA FRONTERA                                        	00011	 	F		 
11540 	11540 	SANLUCAR DE BARRAMED                                        	00011	 	F		 
11701 	11701 	CEUTA                                                       	00011	 	F		 
12    	12    	CARTAGENA                                                   	00012	016	F		 
12003 	12003 	CASTELLON DE LA PLAN                                        	00012	 	F		 
12004 	12004 	CASTELLON                                                   	00012	 	F		 
12005 	12005 	CASTELLON DE LA PLAN                                        	00012	 	F		 
12200 	12200 	ONDA                                                        	00012	 	F		 
12413 	12413 	ALMEDIJAR                                                   	00012	 	F		 
12500 	12500 	VINAROZ                                                     	00012	 	F		 
12520 	12520 	NULES                                                       	00012	 	F		 
12540 	12540 	VILLARREAL                                                  	00012	 	F		 
12598 	12598 	PEÑISCOLA                                                   	00012	 	F		 
13001 	13001 	CIUDAD REAL                                                 	00013	 	F		 
13004 	13004 	CIUDAD REAL                                                 	00013	 	F		 
14001 	14001 	CORDOBA                                                     	00014	 	F		 
14004 	14004 	CORDOBA                                                     	00014	 	F		 
14008 	14008 	CORDOBA                                                     	00014	 	F		 
14071 	14071 	CORDOBA                                                     	00014	 	F		 
14940 	14940 	CABRA                                                       	00014	 	F		 
15001 	15001 	LA CORUÑA                                                   	00015	 	F		 
15003 	15003 	LA CORUÑA                                                   	00015	 	F		 
15005 	15005 	LA CORUÑA                                                   	00015	 	F		 
15319 	15319 	PADERNE                                                     	00015	 	F		 
15703 	15703 	STGO.COMPOSTELA                                             	00015	 	F		 
17005 	17005 	GERONA                                                      	00017	 	F		 
17853 	17853 	TORTELLA                                                    	00017	 	F		 
18001 	18001 	GRANADA                                                     	00018	18	F		 
18002 	18002 	GRANADA                                                     	00018	 	F		 
18009 	18009 	GRANADA                                                     	00018	 	F		 
18014 	18014 	GRANADA                                                     	00018	 	F		 
18151 	18151 	OGIJARES                                                    	00018	 	F		 
18190 	18190 	CENES DE LA VEGA                                            	00018	 	F		 
18200 	18200 	MACARENA-GRANADA                                            	00018	 	F		 
18220 	18220 	ALBOLOTE                                                    	00018	 	F		 
18800 	18800 	BAZA                                                        	00018	 	F		 
19002 	19002 	GUADALAJARA                                                 	00019	 	F		 
