2001	01	% 	.050000000000000003
2001	02	% 	.050000000000000003
2001	03	% 	.14999999999999999
2001	04	% 	.20000000000000001
2001	05	% 	.20000000000000001
2001	11	% 	3.0
2001	12	1%	2.1000000000000001
2001	12	2%	2.1000000000000001
2001	12	3%	2.1000000000000001
2001	12	4%	2.1000000000000001
2001	12	5%	2.1000000000000001
2001	12	6%	2.1000000000000001
2001	12	7%	2.1000000000000001
2001	12	8%	2.1000000000000001
2001	12	9%	.90000000000000002
2001	13	1%	.90000000000000002
2001	13	2%	.90000000000000002
2001	13	3%	.90000000000000002
2001	13	4%	.90000000000000002
2001	13	5%	.90000000000000002
2001	13	6%	.90000000000000002
2001	13	7%	.90000000000000002
2001	13	8%	.90000000000000002
2001	13	9%	2.1000000000000001
2001	14	1%	.90000000000000002
2001	14	2%	.90000000000000002
2001	14	3%	.90000000000000002
2001	14	4%	.90000000000000002
2001	14	5%	.90000000000000002
2001	14	6%	.90000000000000002
2001	14	7%	.90000000000000002
2001	14	8%	.90000000000000002
2001	14	9%	2.1000000000000001
2001	15	1%	2.1000000000000001
2001	15	2%	2.1000000000000001
2001	15	3%	2.1000000000000001
2001	15	4%	2.1000000000000001
2001	15	5%	2.1000000000000001
2001	15	6%	2.1000000000000001
2001	15	7%	2.1000000000000001
2001	15	8%	2.1000000000000001
2001	15	9%	.90000000000000002
2001	16	1%	.90000000000000002
2001	16	2%	.90000000000000002
2001	16	3%	.90000000000000002
2001	16	4%	.90000000000000002
2001	16	5%	.90000000000000002
2001	16	6%	.90000000000000002
2001	16	7%	.90000000000000002
2001	16	8%	.90000000000000002
2001	16	9%	2.1000000000000001
2001	17	1%	.90000000000000002
2001	17	2%	.90000000000000002
2001	17	3%	.90000000000000002
2001	17	4%	.90000000000000002
2001	17	5%	.90000000000000002
2001	17	6%	.90000000000000002
2001	17	7%	.90000000000000002
2001	17	8%	.90000000000000002
2001	17	9%	2.1000000000000001
2001	31	% 	.050000000000000003
2001	32	% 	.050000000000000003
2001	33	% 	0.0
2001	4%	% 	0.0
2001	5%	% 	0.0
2001	6%	% 	0.0
2001	7%	% 	0.0
2001	8%	% 	0.0
2001	9%	% 	0.0
2000	01	% 	.10000000000000001
2000	02	% 	.10000000000000001
2000	03	% 	.25
2000	04	% 	.29999999999999999
2000	05	% 	.29999999999999999
2000	11	% 	3.2999999999999998
2000	12	1%	2.2999999999999998
2000	12	2%	2.2999999999999998
2000	12	3%	2.2999999999999998
2000	12	4%	2.2999999999999998
2000	12	5%	2.2999999999999998
2000	12	6%	2.2999999999999998
2000	12	7%	2.2999999999999998
2000	12	8%	2.2999999999999998
2000	12	9%	1.0
2000	13	1%	1.0
2000	13	2%	1.0
2000	13	3%	1.0
2000	13	4%	1.0
2000	13	5%	1.0
2000	13	6%	1.0
2000	13	7%	1.0
2000	13	8%	1.0
2000	13	9%	2.2999999999999998
2000	14	1%	1.0
2000	14	2%	1.0
2000	14	3%	1.0
2000	14	4%	1.0
2000	14	5%	1.0
2000	14	6%	1.0
2000	14	7%	1.0
2000	14	8%	1.0
2000	14	9%	2.2999999999999998
2000	15	1%	2.2999999999999998
2000	15	2%	2.2999999999999998
2000	15	3%	2.2999999999999998
2000	15	4%	2.2999999999999998
2000	15	5%	2.2999999999999998
2000	15	6%	2.2999999999999998
2000	15	7%	2.2999999999999998
2000	15	8%	2.2999999999999998
2000	15	9%	1.0
2000	16	1%	1.0
2000	16	2%	1.0
2000	16	3%	1.0
2000	16	4%	1.0
2000	16	5%	1.0
2000	16	6%	1.0
2000	16	7%	1.0
2000	16	8%	1.0
2000	16	9%	2.2999999999999998
2000	17	1%	1.0
2000	17	2%	1.0
2000	17	3%	1.0
2000	17	4%	1.0
2000	17	5%	1.0
2000	17	6%	1.0
2000	17	7%	1.0
2000	17	8%	1.0
2000	17	9%	2.2999999999999998
2000	31	% 	.080000000000000002
2000	32	% 	.080000000000000002
2000	33	% 	.080000000000000002
2000	4%	% 	0.0
2000	5%	% 	0.0
2000	6%	% 	0.0
2000	7%	% 	0.0
2000	8%	% 	0.0
2000	9%	% 	0.0
*   	01	% 	.050000000000000003
*   	02	% 	.050000000000000003
*   	03	% 	.14999999999999999
*   	04	% 	.20000000000000001
*   	05	% 	.20000000000000001
*   	11	% 	3.0
*   	12	1%	2.1000000000000001
*   	12	2%	2.1000000000000001
*   	12	3%	2.1000000000000001
*   	12	4%	2.1000000000000001
*   	12	5%	2.1000000000000001
*   	12	6%	2.1000000000000001
*   	12	7%	2.1000000000000001
*   	12	8%	2.1000000000000001
*   	12	9%	.90000000000000002
*   	13	1%	.90000000000000002
*   	13	2%	.90000000000000002
*   	13	3%	.90000000000000002
*   	13	4%	.90000000000000002
*   	13	5%	.90000000000000002
*   	13	6%	.90000000000000002
*   	13	7%	.90000000000000002
*   	13	8%	.90000000000000002
*   	13	9%	2.1000000000000001
*   	14	1%	.90000000000000002
*   	14	2%	.90000000000000002
*   	14	3%	.90000000000000002
*   	14	4%	.90000000000000002
*   	14	5%	.90000000000000002
*   	14	6%	.90000000000000002
*   	14	7%	.90000000000000002
*   	14	8%	.90000000000000002
*   	14	9%	2.1000000000000001
*   	15	1%	2.1000000000000001
*   	15	2%	2.1000000000000001
*   	15	3%	2.1000000000000001
*   	15	4%	2.1000000000000001
*   	15	5%	2.1000000000000001
*   	15	6%	2.1000000000000001
*   	15	7%	2.1000000000000001
*   	15	8%	2.1000000000000001
*   	15	9%	.90000000000000002
*   	16	1%	.90000000000000002
*   	16	2%	.90000000000000002
*   	16	3%	.90000000000000002
