0000000001	0000000001	11	50.0	1.0
0000000002	0000000002	11	40.0	1.0
0000000003	0000000003	11	40.0	1.0
0000000004	0000000004	11	60.0	1.0
0000000005	0000000005	11	50.0	1.0
0000000006	0000000006	11	60.0	1.0
0000000007	0000000007	11	50.0	1.0
0000000008	0000000008	11	40.0	1.0
0000000009	0000000009	11	40.0	1.0
0000000010	0000000010	11	50.0	1.0
0000000011	0000000011	11	40.0	1.0
0000000012	0000000012	11	40.0	1.0
0000000013	0000000013	11	20.0	1.0
0000000014	0000000014	11	20.0	1.0
0000000015	0000000015	11	20.0	1.0
0000000016	0000000016	11	20.0	1.0
0000000017	0000000017	11	20.0	1.0
0000000018	0000000018	11	20.0	1.0
0000000019	0000000019	11	20.0	1.0
0000000020	0000000020	11	20.0	1.0
0000000021	0000000021	11	20.0	1.0
0000000022	0000000022	11	20.0	1.0
0000000023	0000000023	11	20.0	1.0
0000000024	0000000024	11	20.0	1.0
0000000025	0000000025	11	20.0	1.0
0000000026	0000000026	11	20.0	1.0
0000000027	0000000027	11	20.0	1.0
0000000028	0000000028	11	20.0	1.0
0000000029	0000000029	11	20.0	1.0
0000000030	0000000030	11	20.0	1.0
0000000031	0000000031	11	20.0	1.0
0000000032	0000000032	11	20.0	1.0
0000000033	0000000033	11	20.0	1.0
0000000034	0000000034	11	20.0	1.0
0000000035	0000000035	11	20.0	1.0
0000000036	0000000036	11	20.0	1.0
0000000037	0000000037	11	20.0	1.0
0000000038	0000000038	11	20.0	1.0
0000000039	0000000039	11	20.0	1.0
0000000040	0000000040	11	20.0	1.0
0000000041	0000000041	11	20.0	1.0
0000000042	0000000042	11	20.0	1.0
0000000043	0000000043	11	20.0	1.0
0000000044	0000000044	11	20.0	1.0
0000000045	0000000045	11	20.0	1.0
0000000058	0000000058	05	45.0	1.0
0000000059	0000000058	00-01	65.0	1.0
0000000060	0000000059	05	30.0	1.0
0000000061	0000000059	00-01	50.0	1.0
0000000062	0000000060	05	70.0	1.0
0000000063	0000000060	00-01	90.0	1.0
0000000064	0000000061	05	115.0	1.0
0000000065	0000000061	00-01	135.0	1.0
0000000066	0000000062	05	65.0	1.0
0000000067	0000000062	00-01	85.0	1.0
0000000068	0000000063	05	80.0	1.0
0000000069	0000000063	00-01	200.0	1.0
0000000070	0000000064	05	100.0	1.0
0000000071	0000000064	00-01	220.0	1.0
0000000072	0000000065	05	120.0	1.0
0000000073	0000000065	00-01	240.0	1.0
0000000074	0000000066	05	140.0	1.0
0000000075	0000000066	00-01	260.0	1.0
0000000076	0000000067	05	80.0	1.0
0000000077	0000000067	00-01	200.0	1.0
0000000078	0000000068	05	100.0	1.0
0000000079	0000000068	00-01	220.0	1.0
0000000080	0000000069	05	120.0	1.0
0000000081	0000000069	00-01	240.0	1.0
0000000082	0000000070	05	140.0	1.0
0000000083	0000000070	00-01	260.0	1.0
0000000084	0000000071	05	80.0	1.0
0000000085	0000000071	00-01	100.0	1.0
0000000086	0000000072	05	110.0	1.0
0000000087	0000000072	00-01	130.0	1.0
0000000088	0000000073	05	155.0	1.0
0000000089	0000000073	00-01	175.0	1.0
0000000090	0000000074	05	210.0	1.0
0000000091	0000000074	00-01	230.0	1.0
0000000092	0000000075	05	155.0	1.0
0000000093	0000000075	00-01	175.0	1.0
0000000094	0000000076	05	255.0	1.0
0000000095	0000000076	00-01	275.0	1.0
0000000096	0000000077	05	530.0	1.0
0000000097	0000000077	00-01	550.0	1.0
0000000098	0000000078	05	60.0	1.0
0000000099	0000000078	00-01	80.0	1.0
0000000100	0000000079	05	60.0	1.0
0000000101	0000000079	00-01	80.0	1.0
0000000102	0000000080	05	60.0	1.0
0000000103	0000000080	00-01	80.0	1.0
0000000104	0000000081	05	80.0	1.0
0000000105	0000000081	00-01	200.0	1.0
0000000106	0000000082	05	100.0	1.0
0000000107	0000000082	00-01	220.0	1.0
0000000108	0000000083	05	120.0	1.0
0000000109	0000000083	00-01	240.0	1.0
0000000110	0000000084	05	140.0	1.0
0000000111	0000000084	00-01	260.0	1.0
0000000112	0000000085	05	80.0	1.0
0000000113	0000000085	00-01	100.0	1.0
0000000114	0000000086	05	110.0	1.0
0000000115	0000000086	00-01	130.0	1.0
0000000116	0000000087	05	155.0	1.0
0000000117	0000000087	00-01	175.0	1.0
0000000118	0000000088	05	210.0	1.0
0000000119	0000000088	00-01	230.0	1.0
0000000120	0000000089	05	155.0	1.0
0000000121	0000000089	00-01	175.0	1.0
0000000122	0000000090	05	255.0	1.0
0000000123	0000000090	00-01	275.0	1.0
0000000124	0000000091	05	530.0	1.0
0000000125	0000000091	00-01	550.0	1.0
0000000126	0000000092	05	35.0	1.0
0000000127	0000000092	00-01	35.0	1.0
0000000128	0000000093	05	35.0	1.0
0000000129	0000000093	00-01	35.0	1.0
0000000130	0000000094	05	35.0	1.0
0000000131	0000000094	00-01	35.0	1.0
0000000132	0000000095	05	35.0	1.0
0000000133	0000000095	00-01	35.0	1.0
0000000134	0000000096	05	35.0	1.0
0000000135	0000000096	00-01	35.0	1.0
0000000136	0000000097	05	35.0	1.0
0000000137	0000000097	00-01	35.0	1.0
0000000138	0000000098	05	35.0	1.0
0000000139	0000000098	00-01	35.0	1.0
0000000140	0000000099	05	35.0	1.0
0000000141	0000000099	00-01	35.0	1.0
0000000142	0000000100	05	35.0	1.0
0000000143	0000000100	00-01	35.0	1.0
0000000144	0000000101	05	35.0	1.0
0000000145	0000000101	00-01	35.0	1.0
0000000146	0000000102	05	35.0	1.0
0000000147	0000000102	00-01	35.0	1.0
0000000148	0000000103	05	35.0	1.0
0000000149	0000000103	00-01	35.0	1.0
0000000150	0000000104	05	35.0	1.0
0000000151	0000000104	00-01	35.0	1.0
0000000152	0000000105	05	35.0	1.0
0000000153	0000000105	00-01	35.0	1.0
0000000154	0000000106	05	35.0	1.0
0000000155	0000000106	00-01	35.0	1.0
0000000156	0000000107	05	35.0	1.0
0000000157	0000000107	00-01	35.0	1.0
0000000158	0000000108	05	35.0	1.0
0000000159	0000000108	00-01	35.0	1.0
0000000160	0000000109	05	35.0	1.0
0000000161	0000000109	00-01	35.0	1.0
0000000162	0000000110	05	35.0	1.0
0000000163	0000000110	00-01	35.0	1.0
0000000164	0000000111	05	35.0	1.0
0000000165	0000000111	00-01	35.0	1.0
0000000166	0000000112	05	35.0	1.0
0000000167	0000000112	00-01	35.0	1.0
0000000168	0000000113	100098	50.0	1.0
0000000169	0000000113	100099	60.0	1.0
0000000170	0000000114	100098	30.0	1.0
0000000171	0000000114	100099	36.0	1.0
0000000172	0000000115	100098	60.0	1.0
0000000173	0000000115	100099	72.0	1.0
0000000174	0000000116	100098	70.0	1.0
0000000175	0000000116	100099	84.0	1.0
0000000176	0000000117	100098	50.0	1.0
0000000177	0000000117	100099	60.0	1.0
0000000178	0000000118	100098	100.0	1.0
0000000179	0000000118	100099	120.0	1.0
0000000180	0000000119	100098	150.0	1.0
0000000181	0000000119	100099	180.0	1.0
0000000182	0000000120	100098	200.0	1.0
0000000183	0000000120	100099	240.0	1.0
0000000184	0000000121	100098	250.0	1.0
0000000185	0000000121	100099	300.0	1.0
0000000186	0000000122	100098	75.0	1.0
0000000187	0000000122	100099	90.0	1.0
0000000188	0000000123	100098	125.0	1.0
0000000189	0000000123	100099	150.0	1.0
0000000190	0000000124	100098	175.0	1.0
0000000191	0000000124	100099	210.0	1.0
0000000192	0000000125	100098	225.0	1.0
0000000193	0000000125	100099	270.0	1.0
0000000194	0000000126	100098	75.0	1.0
0000000195	0000000126	100099	90.0	1.0
0000000196	0000000127	100098	125.0	1.0
0000000197	0000000127	100099	150.0	1.0
0000000198	0000000128	100098	175.0	1.0
0000000199	0000000128	100099	210.0	1.0
0000000200	0000000129	100098	225.0	1.0
0000000201	0000000129	100099	270.0	1.0
0000000202	0000000130	100098	150.0	1.0
0000000203	0000000130	100099	180.0	1.0
0000000204	0000000131	100098	250.0	1.0
0000000205	0000000131	100099	300.0	1.0
0000000206	0000000132	100098	425.0	1.0
0000000207	0000000132	100099	510.0	1.0
0000000208	0000000133	100098	75.0	1.0
0000000209	0000000133	100099	90.0	1.0
0000000210	0000000134	100098	125.0	1.0
0000000211	0000000134	100099	150.0	1.0
0000000212	0000000135	100098	175.0	1.0
0000000213	0000000135	100099	210.0	1.0
0000000214	0000000136	100098	225.0	1.0
0000000215	0000000136	100099	270.0	1.0
0000000216	0000000137	100098	75.0	1.0
0000000217	0000000137	100099	90.0	1.0
0000000218	0000000138	100098	125.0	1.0
0000000219	0000000138	100099	150.0	1.0
0000000220	0000000139	100098	175.0	1.0
0000000221	0000000139	100099	210.0	1.0
0000000222	0000000140	100098	225.0	1.0
0000000223	0000000140	100099	270.0	1.0
0000000224	0000000141	100098	150.0	1.0
0000000225	0000000141	100099	180.0	1.0
0000000226	0000000142	100098	250.0	1.0
0000000227	0000000142	100099	300.0	1.0
0000000228	0000000143	100098	425.0	1.0
0000000229	0000000143	100099	510.0	1.0
0000000230	0000000144	100098	100.0	1.0
0000000231	0000000144	100099	120.0	1.0
0000000232	0000000145	100098	200.0	1.0
0000000233	0000000145	100099	240.0	1.0
0000000234	0000000146	100098	375.0	1.0
0000000235	0000000146	100099	450.0	1.0
0000000236	0000000147	100098	100.0	1.0
0000000237	0000000147	100099	120.0	1.0
0000000238	0000000148	100098	200.0	1.0
0000000239	0000000148	100099	240.0	1.0
0000000240	0000000149	100098	375.0	1.0
0000000241	0000000149	100099	450.0	1.0
0000000242	0000000150	100098	100.0	1.0
0000000243	0000000150	100099	120.0	1.0
0000000244	0000000151	100098	200.0	1.0
0000000245	0000000151	100099	240.0	1.0
0000000246	0000000152	100098	375.0	1.0
0000000247	0000000152	100099	450.0	1.0
0000000248	0000000153	100098	40.0	1.0
0000000249	0000000153	100099	48.0	1.0
0000000250	0000000154	100098	30.0	1.0
0000000251	0000000154	100099	36.0	1.0
0000000252	0000000155	100098	30.0	1.0
0000000253	0000000155	100099	36.0	1.0
0000000254	0000000156	100098	30.0	1.0
0000000255	0000000156	100099	36.0	1.0
0000000256	0000000157	100098	30.0	1.0
0000000257	0000000157	100099	36.0	1.0
0000000258	0000000158	100098	30.0	1.0
0000000259	0000000158	100099	36.0	1.0
0000000260	0000000159	100098	30.0	1.0
0000000261	0000000159	100099	36.0	1.0
0000000262	0000000160	100098	30.0	1.0
0000000263	0000000160	100099	36.0	1.0
0000000264	0000000161	100098	30.0	1.0
0000000265	0000000161	100099	36.0	1.0
0000000266	0000000162	100098	30.0	1.0
0000000267	0000000162	100099	36.0	1.0
0000000268	0000000163	100098	30.0	1.0
0000000269	0000000163	100099	36.0	1.0
0000000270	0000000164	100098	30.0	1.0
0000000271	0000000164	100099	36.0	1.0
0000000272	0000000165	100098	30.0	1.0
0000000273	0000000165	100099	36.0	1.0
0000000274	0000000166	100098	30.0	1.0
0000000275	0000000166	100099	36.0	1.0
0000000276	0000000167	100098	30.0	1.0
0000000277	0000000167	100099	36.0	1.0
0000000278	0000000168	100098	30.0	1.0
0000000279	0000000168	100099	36.0	1.0
0000000280	0000000169	100098	30.0	1.0
0000000281	0000000169	100099	36.0	1.0
0000000282	0000000170	100098	30.0	1.0
0000000283	0000000170	100099	36.0	1.0
0000000284	0000000171	100098	30.0	1.0
0000000285	0000000171	100099	36.0	1.0
0000000286	0000000172	100098	30.0	1.0
0000000287	0000000172	100099	36.0	1.0
0000000288	0000000173	100098	30.0	1.0
0000000289	0000000173	100099	36.0	1.0
0000000290	0000000174	100098	30.0	1.0
0000000291	0000000174	100099	36.0	1.0
0000000292	0000000175	100098	30.0	1.0
0000000293	0000000175	100099	36.0	1.0
0000000294	0000000176	100098	30.0	1.0
0000000295	0000000176	100099	36.0	1.0
0000000296	0000000177	100098	30.0	1.0
0000000297	0000000177	100099	36.0	1.0
0000000298	0000000178	100098	30.0	1.0
0000000299	0000000178	100099	36.0	1.0
0000000300	0000000179	100098	30.0	1.0
0000000301	0000000179	100099	36.0	1.0
0000000302	0000000180	100098	30.0	1.0
0000000303	0000000180	100099	36.0	1.0
0000000304	0000000181	100098	30.0	1.0
0000000305	0000000181	100099	36.0	1.0
0000000306	0000000182	06	50.0	1.0
0000000307	0000000182	09	70.0	1.0
0000000308	0000000183	06	30.0	1.0
0000000309	0000000183	09	50.0	1.0
0000000310	0000000184	06	100.0	1.0
0000000311	0000000184	09	120.0	1.0
0000000312	0000000185	06	120.0	1.0
0000000313	0000000185	09	140.0	1.0
0000000314	0000000186	06	50.0	1.0
0000000315	0000000186	09	70.0	1.0
0000000316	0000000187	06	100.0	1.0
0000000317	0000000187	09	120.0	1.0
0000000318	0000000188	06	150.0	1.0
0000000319	0000000188	09	170.0	1.0
0000000320	0000000189	06	200.0	1.0
0000000321	0000000189	09	220.0	1.0
0000000322	0000000190	06	250.0	1.0
0000000323	0000000190	09	270.0	1.0
0000000324	0000000191	06	75.0	1.0
0000000325	0000000191	09	95.0	1.0
0000000326	0000000192	06	125.0	1.0
0000000327	0000000192	09	145.0	1.0
0000000328	0000000193	06	175.0	1.0
0000000329	0000000193	09	195.0	1.0
0000000330	0000000194	06	225.0	1.0
0000000331	0000000194	09	245.0	1.0
0000000332	0000000195	06	75.0	1.0
0000000333	0000000195	09	95.0	1.0
0000000334	0000000196	06	125.0	1.0
0000000335	0000000196	09	145.0	1.0
0000000336	0000000197	06	175.0	1.0
0000000337	0000000197	09	195.0	1.0
0000000338	0000000198	06	225.0	1.0
0000000339	0000000198	09	245.0	1.0
0000000340	0000000199	06	150.0	1.0
0000000341	0000000199	09	150.0	1.0
0000000342	0000000200	06	250.0	1.0
0000000343	0000000200	09	250.0	1.0
0000000344	0000000201	06	500.0	1.0
0000000345	0000000201	09	500.0	1.0
0000000346	0000000202	06	30.0	1.0
0000000347	0000000202	09	50.0	1.0
0000000348	0000000203	06	30.0	1.0
0000000349	0000000203	09	50.0	1.0
0000000350	0000000204	06	30.0	1.0
0000000351	0000000204	09	50.0	1.0
0000000352	0000000205	06	30.0	1.0
0000000353	0000000205	09	40.0	1.0
0000000354	0000000206	06	30.0	1.0
0000000355	0000000206	09	40.0	1.0
0000000356	0000000207	06	30.0	1.0
0000000357	0000000207	09	40.0	1.0
0000000358	0000000208	06	30.0	1.0
0000000359	0000000208	09	40.0	1.0
0000000360	0000000209	06	30.0	1.0
0000000361	0000000209	09	40.0	1.0
0000000362	0000000210	06	30.0	1.0
0000000363	0000000210	09	40.0	1.0
0000000364	0000000211	06	30.0	1.0
0000000365	0000000211	09	40.0	1.0
0000000366	0000000212	06	30.0	1.0
0000000367	0000000212	09	40.0	1.0
0000000368	0000000213	06	30.0	1.0
0000000369	0000000213	09	40.0	1.0
0000000370	0000000214	06	30.0	1.0
0000000371	0000000214	09	40.0	1.0
0000000372	0000000215	06	30.0	1.0
0000000373	0000000215	09	40.0	1.0
0000000374	0000000216	06	30.0	1.0
0000000375	0000000216	09	40.0	1.0
0000000376	0000000217	06	30.0	1.0
0000000377	0000000217	09	40.0	1.0
0000000378	0000000218	06	30.0	1.0
0000000379	0000000218	09	40.0	1.0
0000000380	0000000219	06	30.0	1.0
0000000381	0000000219	09	40.0	1.0
0000000382	0000000220	06	30.0	1.0
0000000383	0000000220	09	40.0	1.0
0000000384	0000000221	06	30.0	1.0
0000000385	0000000221	09	40.0	1.0
0000000386	0000000222	06	30.0	1.0
0000000387	0000000222	09	40.0	1.0
0000000388	0000000223	06	30.0	1.0
0000000389	0000000223	09	40.0	1.0
0000000390	0000000224	06	30.0	1.0
0000000391	0000000224	09	40.0	1.0
0000000392	0000000225	06	30.0	1.0
0000000393	0000000225	09	40.0	1.0
0000000394	0000000226	06	30.0	1.0
0000000395	0000000226	09	40.0	1.0
0000000396	0000000227	06	30.0	1.0
0000000397	0000000227	09	40.0	1.0
0000000398	0000000228	06	30.0	1.0
0000000399	0000000228	09	40.0	1.0
0000000400	0000000229	08	30.0	1.0
0000000401	0000000230	08	30.0	1.0
0000000402	0000000231	08	45.0	1.0
0000000403	0000000232	08	45.0	1.0
0000000404	0000000233	08	45.0	1.0
0000000405	0000000234	08	75.0	1.0
0000000406	0000000235	08	60.0	1.0
0000000407	0000000236	08	45.0	1.0
0000000408	0000000237	08	45.0	1.0
0000000409	0000000238	08	60.0	1.0
0000000410	0000000239	08	45.0	1.0
0000000411	0000000240	08	45.0	1.0
0000000412	0000000241	08	45.0	1.0
0000000413	0000000242	08	40.0	1.0
0000000414	0000000243	08	40.0	1.0
0000000415	0000000244	08	30.0	1.0
0000000416	0000000245	08	30.0	1.0
0000000417	0000000246	08	30.0	1.0
0000000418	0000000247	08	30.0	1.0
0000000419	0000000248	08	30.0	1.0
0000000420	0000000249	08	30.0	1.0
0000000421	0000000250	08	30.0	1.0
0000000422	0000000251	08	30.0	1.0
0000000423	0000000252	08	30.0	1.0
0000000424	0000000253	08	30.0	1.0
0000000425	0000000254	08	30.0	1.0
0000000426	0000000255	08	30.0	1.0
0000000427	0000000256	08	30.0	1.0
0000000428	0000000257	08	30.0	1.0
0000000429	0000000258	08	30.0	1.0
0000000430	0000000259	08	30.0	1.0
0000000431	0000000260	08	30.0	1.0
0000000432	0000000261	08	30.0	1.0
0000000433	0000000262	08	30.0	1.0
0000000434	0000000263	08	30.0	1.0
0000000435	0000000264	08	30.0	1.0
0000000436	0000000265	08	15.0	1.0
0000000437	0000000266	08	30.0	1.0
0000000438	0000000267	08	30.0	1.0
0000000439	0000000268	08	30.0	1.0
0000000440	0000000269	08	30.0	1.0
0000000441	0000000270	08	30.0	1.0
0000000442	0000000271	08	30.0	1.0
0000000443	0000000272	08	30.0	1.0
0000000444	0000000273	08	30.0	1.0
0000000445	0000000274	CC-001	75.0	1.0
0000000446	0000000274	CC-002	100.0	1.0
0000000447	0000000274	CC-003	120.0	1.0
0000000448	0000000275	CC-001	20.0	1.0
0000000449	0000000275	CC-002	25.0	1.0
0000000450	0000000275	CC-003	30.0	1.0
0000000451	0000000276	CC-001	50.0	1.0
0000000452	0000000276	CC-002	55.0	1.0
0000000453	0000000276	CC-003	60.0	1.0
0000000454	0000000277	CC-001	100.0	1.0
0000000455	0000000277	CC-002	130.0	1.0
0000000456	0000000277	CC-003	150.0	1.0
0000000457	0000000278	CC-001	60.0	1.0
0000000458	0000000278	CC-002	70.0	1.0
0000000459	0000000278	CC-003	80.0	1.0
0000000460	0000000279	CC-001	90.0	1.0
0000000461	0000000279	CC-002	100.0	1.0
0000000462	0000000279	CC-003	120.0	1.0
0000000463	0000000280	CC-001	110.0	1.0
0000000464	0000000280	CC-002	120.0	1.0
0000000465	0000000280	CC-003	140.0	1.0
0000000466	0000000281	CC-001	125.0	1.0
0000000467	0000000281	CC-002	140.0	1.0
0000000468	0000000281	CC-003	160.0	1.0
0000000469	0000000282	CC-001	60.0	1.0
0000000470	0000000282	CC-002	80.0	1.0
0000000471	0000000282	CC-003	100.0	1.0
0000000472	0000000283	CC-001	80.0	1.0
0000000473	0000000283	CC-002	100.0	1.0
0000000474	0000000283	CC-003	120.0	1.0
0000000475	0000000284	CC-001	120.0	1.0
0000000476	0000000284	CC-002	140.0	1.0
0000000477	0000000284	CC-003	160.0	1.0
0000000478	0000000285	CC-001	60.0	1.0
0000000479	0000000285	CC-002	80.0	1.0
0000000480	0000000285	CC-003	100.0	1.0
0000000481	0000000286	CC-001	80.0	1.0
0000000482	0000000286	CC-002	100.0	1.0
0000000483	0000000286	CC-003	120.0	1.0
0000000484	0000000287	CC-001	120.0	1.0
0000000485	0000000287	CC-002	140.0	1.0
0000000486	0000000287	CC-003	160.0	1.0
0000000487	0000000288	CC-001	60.0	1.0
0000000488	0000000288	CC-002	80.0	1.0
0000000489	0000000288	CC-003	100.0	1.0
0000000490	0000000289	CC-001	80.0	1.0
0000000491	0000000289	CC-002	100.0	1.0
0000000492	0000000289	CC-003	120.0	1.0
0000000493	0000000290	CC-001	120.0	1.0
0000000494	0000000290	CC-002	140.0	1.0
0000000495	0000000290	CC-003	160.0	1.0
0000000496	0000000291	CC-001	60.0	1.0
0000000497	0000000291	CC-002	80.0	1.0
0000000498	0000000291	CC-003	100.0	1.0
0000000499	0000000292	CC-001	80.0	1.0
0000000500	0000000292	CC-002	100.0	1.0
0000000501	0000000292	CC-003	120.0	1.0
0000000502	0000000293	CC-001	120.0	1.0
0000000503	0000000293	CC-002	140.0	1.0
0000000504	0000000293	CC-003	160.0	1.0
0000000505	0000000294	CC-001	80.0	1.0
0000000506	0000000294	CC-002	90.0	1.0
0000000507	0000000294	CC-003	100.0	1.0
0000000508	0000000295	CC-001	100.0	1.0
0000000509	0000000295	CC-002	110.0	1.0
0000000510	0000000295	CC-003	120.0	1.0
0000000511	0000000296	CC-001	140.0	1.0
0000000512	0000000296	CC-002	150.0	1.0
0000000513	0000000296	CC-003	160.0	1.0
0000000514	0000000297	CC-001	80.0	1.0
0000000515	0000000297	CC-002	90.0	1.0
0000000516	0000000297	CC-003	100.0	1.0
0000000517	0000000298	CC-001	100.0	1.0
0000000518	0000000298	CC-002	110.0	1.0
0000000519	0000000298	CC-003	120.0	1.0
0000000520	0000000299	CC-001	140.0	1.0
0000000521	0000000299	CC-002	150.0	1.0
0000000522	0000000299	CC-003	160.0	1.0
0000000523	0000000300	CC-001	25.0	1.0
0000000524	0000000300	CC-002	30.0	1.0
0000000525	0000000300	CC-003	40.0	1.0
0000000526	0000000301	CC-001	25.0	1.0
0000000527	0000000301	CC-002	30.0	1.0
0000000528	0000000301	CC-003	40.0	1.0
0000000529	0000000302	CC-001	25.0	1.0
0000000530	0000000302	CC-002	30.0	1.0
0000000531	0000000302	CC-003	40.0	1.0
0000000532	0000000303	CC-001	45.0	1.0
0000000533	0000000303	CC-002	65.0	1.0
0000000534	0000000303	CC-003	85.0	1.0
0000000535	0000000304	CC-001	45.0	1.0
0000000536	0000000304	CC-002	65.0	1.0
