13 	76 	1.0700000000000001	B         	-1.0	999999.0
13 	81 	1.0700000000000001	B         	-1.0	999999.0
13 	82 	1.0700000000000001	B         	-1.0	999999.0
14 	13 	1.0	B         	-1.0	999999.0
14 	51 	1.0700000000000001	B         	-1.0	999999.0
14 	52 	1.0700000000000001	B         	-1.0	999999.0
14 	61 	1.0700000000000001	B         	-1.0	999999.0
14 	62 	1.0700000000000001	B         	-1.0	999999.0
14 	63 	1.0700000000000001	B         	-1.0	999999.0
14 	71 	1.0700000000000001	B         	-1.0	999999.0
14 	72 	1.0700000000000001	B         	-1.0	999999.0
14 	73 	1.0700000000000001	B         	-1.0	999999.0
14 	74 	1.0700000000000001	B         	-1.0	999999.0
14 	75 	1.0700000000000001	B         	-1.0	999999.0
14 	76 	1.0700000000000001	B         	-1.0	999999.0
14 	81 	1.0700000000000001	B         	-1.0	999999.0
14 	82 	1.0700000000000001	B         	-1.0	999999.0
15 	11 	3.3300000000000001	B         	-1.0	999999.0
15 	12 	3.3300000000000001	B         	-1.0	999999.0
15 	13 	3.3300000000000001	B         	-1.0	999999.0
15 	21 	3.5800000000000001	B         	-1.0	999999.0
15 	22 	3.5800000000000001	B         	-1.0	999999.0
15 	23 	3.5800000000000001	B         	-1.0	999999.0
15 	51 	3.5800000000000001	B         	-1.0	999999.0
15 	52 	3.5800000000000001	B         	-1.0	999999.0
15 	61 	3.5800000000000001	B         	-1.0	999999.0
15 	62 	3.5800000000000001	B         	-1.0	999999.0
15 	63 	3.5800000000000001	B         	-1.0	999999.0
15 	71 	3.5800000000000001	B         	-1.0	999999.0
15 	72 	3.5800000000000001	B         	-1.0	999999.0
15 	73 	3.5800000000000001	B         	-1.0	999999.0
15 	74 	3.5800000000000001	B         	-1.0	999999.0
15 	75 	3.5800000000000001	B         	-1.0	999999.0
15 	76 	3.5800000000000001	B         	-1.0	999999.0
15 	81 	3.5800000000000001	B         	-1.0	999999.0
15 	82 	3.5800000000000001	B         	-1.0	999999.0
16 	11 	1.0	B         	-1.0	999999.0
16 	12 	1.0	B         	-1.0	999999.0
16 	13 	1.0	B         	-1.0	999999.0
16 	21 	1.0700000000000001	B         	-1.0	999999.0
16 	22 	1.0700000000000001	B         	-1.0	999999.0
16 	23 	1.0700000000000001	B         	-1.0	999999.0
16 	51 	1.0700000000000001	B         	-1.0	999999.0
16 	52 	1.0700000000000001	B         	-1.0	999999.0
16 	61 	1.0700000000000001	B         	-1.0	999999.0
16 	62 	1.0700000000000001	B         	-1.0	999999.0
16 	63 	1.0700000000000001	B         	-1.0	999999.0
16 	71 	1.0700000000000001	B         	-1.0	999999.0
16 	72 	1.0700000000000001	B         	-1.0	999999.0
16 	73 	1.0700000000000001	B         	-1.0	999999.0
16 	74 	1.0700000000000001	B         	-1.0	999999.0
